,eo_model_name,month_year,calendar_fond_status,downtime_status
105,Самосвалы Komatsu 730E-10,1_2023,1,0.0
106,Самосвалы Komatsu 730E-10,1_2023,1,0.0
107,Самосвалы Komatsu 730E-10,1_2023,1,0.0
108,Самосвалы Komatsu 730E-10,1_2023,1,0.0
109,Самосвалы Komatsu 730E-10,1_2023,1,0.0
110,Самосвалы Komatsu 730E-10,1_2023,1,0.0
111,Самосвалы Komatsu 730E-10,1_2023,1,0.0
112,Самосвалы Komatsu 730E-10,1_2023,1,0.0
113,Самосвалы Komatsu 730E-10,1_2023,1,0.0
114,Самосвалы Komatsu 730E-10,1_2023,1,0.3
115,Самосвалы Komatsu 730E-10,1_2023,1,0.0
116,Самосвалы Komatsu 730E-10,1_2023,1,0.0
117,Самосвалы Komatsu 730E-10,1_2023,1,0.0
118,Самосвалы Komatsu 730E-10,1_2023,1,0.0
119,Самосвалы Komatsu 730E-10,1_2023,1,0.0
120,Самосвалы Komatsu 730E-10,1_2023,1,0.0
121,Самосвалы Komatsu 730E-10,1_2023,1,0.0
122,Самосвалы Komatsu 730E-10,1_2023,1,0.0
123,Самосвалы Komatsu 730E-10,1_2023,1,0.0
124,Самосвалы Komatsu 730E-10,1_2023,1,0.0
125,Самосвалы Komatsu 730E-10,1_2023,1,0.0
126,Самосвалы Komatsu 730E-10,1_2023,1,0.0
127,Самосвалы Komatsu 730E-10,1_2023,1,0.0
128,Самосвалы Komatsu 730E-10,1_2023,1,0.0
129,Самосвалы Komatsu 730E-10,1_2023,1,0.0
130,Самосвалы Komatsu 730E-10,1_2023,1,0.0
131,Самосвалы Komatsu 730E-10,1_2023,1,0.0
132,Самосвалы Komatsu 730E-10,1_2023,1,0.0
133,Самосвалы Komatsu 730E-10,1_2023,1,0.0
134,Самосвалы Komatsu 730E-10,1_2023,1,0.0
135,Самосвалы Komatsu 730E-10,1_2023,1,0.3
136,Самосвалы Komatsu 730E-10,1_2023,1,0.0
137,Самосвалы Komatsu 730E-10,1_2023,1,0.0
138,Самосвалы Komatsu 730E-10,1_2023,1,0.0
139,Самосвалы Komatsu 730E-10,1_2023,1,0.0
140,Самосвалы Komatsu 730E-10,1_2023,1,0.0
141,Самосвалы Komatsu 730E-10,1_2023,1,0.0
142,Самосвалы Komatsu 730E-10,1_2023,1,0.0
143,Самосвалы Komatsu 730E-10,1_2023,1,0.0
144,Самосвалы Komatsu 730E-10,1_2023,1,0.0
145,Самосвалы Komatsu 730E-10,1_2023,1,0.0
146,Самосвалы Komatsu 730E-10,1_2023,1,0.0
147,Самосвалы Komatsu 730E-10,1_2023,1,0.0
148,Самосвалы Komatsu 730E-10,1_2023,1,0.0
149,Самосвалы Komatsu 730E-10,1_2023,1,0.0
150,Самосвалы Komatsu 730E-10,1_2023,1,0.0
151,Самосвалы Komatsu 730E-10,1_2023,1,0.0
152,Самосвалы Komatsu 730E-10,1_2023,1,0.0
153,Самосвалы Komatsu 730E-10,1_2023,1,0.0
154,Самосвалы Komatsu 730E-10,1_2023,1,0.0
155,Самосвалы Komatsu 730E-10,1_2023,1,0.0
156,Самосвалы Komatsu 730E-10,1_2023,1,0.0
157,Самосвалы Komatsu 730E-10,1_2023,1,0.0
158,Самосвалы Komatsu 730E-10,1_2023,1,0.0
159,Самосвалы Komatsu 730E-10,1_2023,1,0.0
160,Самосвалы Komatsu 730E-10,1_2023,1,0.0
161,Самосвалы Komatsu 730E-10,1_2023,1,0.0
162,Самосвалы Komatsu 730E-10,1_2023,1,0.3
163,Самосвалы Komatsu 730E-10,1_2023,1,0.0
164,Самосвалы Komatsu 730E-10,1_2023,1,0.0
165,Самосвалы Komatsu 730E-10,1_2023,1,0.0
166,Самосвалы Komatsu 730E-10,1_2023,1,0.0
167,Самосвалы Komatsu 730E-10,1_2023,1,0.0
168,Самосвалы Komatsu 730E-10,1_2023,1,0.0
169,Самосвалы Komatsu 730E-10,1_2023,1,0.0
170,Самосвалы Komatsu 730E-10,1_2023,1,0.0
171,Самосвалы Komatsu 730E-10,1_2023,1,0.0
172,Самосвалы Komatsu 730E-10,1_2023,1,0.3
173,Самосвалы Komatsu 730E-10,1_2023,1,0.0
174,Самосвалы Komatsu 730E-10,1_2023,1,0.0
175,Самосвалы Komatsu 730E-10,1_2023,1,0.0
176,Самосвалы Komatsu 730E-10,1_2023,1,0.0
177,Самосвалы Komatsu 730E-10,1_2023,1,0.0
178,Самосвалы Komatsu 730E-10,1_2023,1,0.0
179,Самосвалы Komatsu 730E-10,1_2023,1,0.0
180,Самосвалы Komatsu 730E-10,1_2023,1,0.0
181,Самосвалы Komatsu 730E-10,1_2023,1,0.0
182,Самосвалы Komatsu 730E-10,1_2023,1,0.0
183,Самосвалы Komatsu 730E-10,1_2023,1,0.0
184,Самосвалы Komatsu 730E-10,1_2023,1,0.0
185,Самосвалы Komatsu 730E-10,1_2023,1,0.0
186,Самосвалы Komatsu 730E-10,1_2023,1,0.3
187,Самосвалы Komatsu 730E-10,1_2023,1,0.0
188,Самосвалы Komatsu 730E-10,1_2023,1,0.0
189,Самосвалы Komatsu 730E-10,1_2023,1,0.3
190,Самосвалы Komatsu 730E-10,1_2023,1,0.0
191,Самосвалы Komatsu 730E-10,1_2023,1,0.0
192,Самосвалы Komatsu 730E-10,1_2023,1,0.0
193,Самосвалы Komatsu 730E-10,1_2023,1,0.0
194,Самосвалы Komatsu 730E-10,1_2023,1,0.0
195,Самосвалы Komatsu 730E-10,1_2023,1,0.0
196,Самосвалы Komatsu 730E-10,1_2023,1,0.0
197,Самосвалы Komatsu 730E-10,1_2023,1,0.0
198,Самосвалы Komatsu 730E-10,1_2023,1,0.0
199,Самосвалы Komatsu 730E-10,1_2023,1,0.0
200,Самосвалы Komatsu 730E-10,1_2023,1,0.0
201,Самосвалы Komatsu 730E-10,1_2023,1,0.0
202,Самосвалы Komatsu 730E-10,1_2023,1,0.0
203,Самосвалы Komatsu 730E-10,1_2023,1,0.0
204,Самосвалы Komatsu 730E-10,1_2023,1,0.0
205,Самосвалы Komatsu 730E-10,1_2023,1,0.0
206,Самосвалы Komatsu 730E-10,1_2023,1,0.0
207,Самосвалы Komatsu 730E-10,1_2023,1,0.0
208,Самосвалы Komatsu 730E-10,1_2023,1,0.0
209,Самосвалы Komatsu 730E-10,1_2023,1,0.0
210,Самосвалы Komatsu 730E-10,1_2023,1,0.0
211,Самосвалы Komatsu 730E-10,1_2023,1,0.3
212,Самосвалы Komatsu 730E-10,1_2023,1,0.0
213,Самосвалы Komatsu 730E-10,1_2023,1,0.0
214,Самосвалы Komatsu 730E-10,1_2023,1,0.0
215,Самосвалы Komatsu 730E-10,1_2023,1,0.0
216,Самосвалы Komatsu 730E-10,1_2023,1,0.0
217,Самосвалы Komatsu 730E-10,1_2023,1,0.0
218,Самосвалы Komatsu 730E-10,1_2023,1,0.0
219,Самосвалы Komatsu 730E-10,1_2023,1,0.0
220,Самосвалы Komatsu 730E-10,1_2023,1,0.0
221,Самосвалы Komatsu 730E-10,1_2023,1,0.0
222,Самосвалы Komatsu 730E-10,1_2023,1,0.0
223,Самосвалы Komatsu 730E-10,1_2023,1,0.0
224,Самосвалы Komatsu 730E-10,1_2023,1,0.0
225,Самосвалы Komatsu 730E-10,1_2023,1,0.0
226,Самосвалы Komatsu 730E-10,1_2023,1,0.0
227,Самосвалы Komatsu 730E-10,1_2023,1,0.0
228,Самосвалы Komatsu 730E-10,1_2023,1,0.0
229,Самосвалы Komatsu 730E-10,1_2023,1,0.0
230,Самосвалы Komatsu 730E-10,1_2023,1,0.0
231,Самосвалы Komatsu 730E-10,1_2023,1,0.0
232,Самосвалы Komatsu 730E-10,1_2023,1,0.0
233,Самосвалы Komatsu 730E-10,1_2023,1,0.0
234,Самосвалы Komatsu 730E-10,1_2023,1,0.0
235,Самосвалы Komatsu 730E-10,1_2023,1,0.0
236,Самосвалы Komatsu 730E-10,1_2023,1,0.3
237,Самосвалы Komatsu 730E-10,1_2023,1,0.0
238,Самосвалы Komatsu 730E-10,1_2023,1,0.0
239,Самосвалы Komatsu 730E-10,1_2023,1,0.0
240,Самосвалы Komatsu 730E-10,1_2023,1,0.0
241,Самосвалы Komatsu 730E-10,1_2023,1,0.0
242,Самосвалы Komatsu 730E-10,1_2023,1,0.0
243,Самосвалы Komatsu 730E-10,1_2023,1,0.0
244,Самосвалы Komatsu 730E-10,1_2023,1,0.0
245,Самосвалы Komatsu 730E-10,1_2023,1,0.0
246,Самосвалы Komatsu 730E-10,1_2023,1,0.0
247,Самосвалы Komatsu 730E-10,1_2023,1,0.0
248,Самосвалы Komatsu 730E-10,1_2023,1,0.0
249,Самосвалы Komatsu 730E-10,1_2023,1,0.0
250,Самосвалы Komatsu 730E-10,1_2023,1,0.0
251,Самосвалы Komatsu 730E-10,1_2023,1,0.0
252,Самосвалы Komatsu 730E-10,1_2023,1,0.0
253,Самосвалы Komatsu 730E-10,1_2023,1,0.0
254,Самосвалы Komatsu 730E-10,1_2023,1,0.0
255,Самосвалы Komatsu 730E-10,1_2023,1,0.0
256,Самосвалы Komatsu 730E-10,1_2023,1,0.0
257,Самосвалы Komatsu 730E-10,1_2023,1,0.0
258,Самосвалы Komatsu 730E-10,1_2023,1,0.0
259,Самосвалы Komatsu 730E-10,1_2023,1,0.3
260,Самосвалы Komatsu 730E-10,1_2023,1,0.0
261,Самосвалы Komatsu 730E-10,1_2023,1,0.0
262,Самосвалы Komatsu 730E-10,1_2023,1,0.0
263,Самосвалы Komatsu 730E-10,1_2023,1,0.0
264,Самосвалы Komatsu 730E-10,1_2023,1,0.0
265,Самосвалы Komatsu 730E-10,1_2023,1,0.0
266,Самосвалы Komatsu 730E-10,1_2023,1,0.0
267,Самосвалы Komatsu 730E-10,1_2023,1,0.0
268,Самосвалы Komatsu 730E-10,1_2023,1,0.0
269,Самосвалы Komatsu 730E-10,1_2023,1,0.0
270,Самосвалы Komatsu 730E-10,1_2023,1,0.0
271,Самосвалы Komatsu 730E-10,1_2023,1,0.0
272,Самосвалы Komatsu 730E-10,1_2023,1,0.0
273,Самосвалы Komatsu 730E-10,1_2023,1,0.0
274,Самосвалы Komatsu 730E-10,1_2023,1,0.0
275,Самосвалы Komatsu 730E-10,1_2023,1,0.0
276,Самосвалы Komatsu 730E-10,1_2023,1,0.0
277,Самосвалы Komatsu 730E-10,1_2023,1,0.0
278,Самосвалы Komatsu 730E-10,1_2023,1,0.0
279,Самосвалы Komatsu 730E-10,1_2023,1,0.0
280,Самосвалы Komatsu 730E-10,1_2023,1,0.0
281,Самосвалы Komatsu 730E-10,1_2023,1,0.0
282,Самосвалы Komatsu 730E-10,1_2023,1,0.0
283,Самосвалы Komatsu 730E-10,1_2023,1,0.0
284,Самосвалы Komatsu 730E-10,1_2023,1,0.0
285,Самосвалы Komatsu 730E-10,1_2023,1,0.0
286,Самосвалы Komatsu 730E-10,1_2023,1,0.0
287,Самосвалы Komatsu 730E-10,1_2023,1,0.0
288,Самосвалы Komatsu 730E-10,1_2023,1,0.0
289,Самосвалы Komatsu 730E-10,1_2023,1,0.0
290,Самосвалы Komatsu 730E-10,1_2023,1,0.0
291,Самосвалы Komatsu 730E-10,1_2023,1,0.0
292,Самосвалы Komatsu 730E-10,1_2023,1,0.0
293,Самосвалы Komatsu 730E-10,1_2023,1,0.0
294,Самосвалы Komatsu 730E-10,1_2023,1,0.0
295,Самосвалы Komatsu 730E-10,1_2023,1,0.0
296,Самосвалы Komatsu 730E-10,1_2023,1,0.0
297,Самосвалы Komatsu 730E-10,1_2023,1,0.0
298,Самосвалы Komatsu 730E-10,1_2023,1,0.0
299,Самосвалы Komatsu 730E-10,1_2023,1,0.3
300,Самосвалы Komatsu 730E-10,1_2023,1,0.0
301,Самосвалы Komatsu 730E-10,1_2023,1,0.0
302,Самосвалы Komatsu 730E-10,1_2023,1,0.0
303,Самосвалы Komatsu 730E-10,1_2023,1,0.0
304,Самосвалы Komatsu 730E-10,1_2023,1,0.0
305,Самосвалы Komatsu 730E-10,1_2023,1,0.0
306,Самосвалы Komatsu 730E-10,1_2023,1,0.0
307,Самосвалы Komatsu 730E-10,1_2023,1,0.0
308,Самосвалы Komatsu 730E-10,1_2023,1,0.0
309,Самосвалы Komatsu 730E-10,1_2023,1,0.0
310,Самосвалы Komatsu 730E-10,1_2023,1,0.0
311,Самосвалы Komatsu 730E-10,1_2023,1,0.0
312,Самосвалы Komatsu 730E-10,1_2023,1,0.0
313,Самосвалы Komatsu 730E-10,1_2023,1,0.0
314,Самосвалы Komatsu 730E-10,1_2023,1,0.0
315,Самосвалы Komatsu 730E-10,1_2023,1,0.0
316,Самосвалы Komatsu 730E-10,1_2023,1,0.0
317,Самосвалы Komatsu 730E-10,1_2023,1,0.0
318,Самосвалы Komatsu 730E-10,1_2023,1,0.0
319,Самосвалы Komatsu 730E-10,1_2023,1,0.0
320,Самосвалы Komatsu 730E-10,1_2023,1,0.0
321,Самосвалы Komatsu 730E-10,1_2023,1,0.0
322,Самосвалы Komatsu 730E-10,1_2023,1,0.0
323,Самосвалы Komatsu 730E-10,1_2023,1,0.0
324,Самосвалы Komatsu 730E-10,1_2023,1,0.0
325,Самосвалы Komatsu 730E-10,1_2023,1,0.0
326,Самосвалы Komatsu 730E-10,1_2023,1,0.0
327,Самосвалы Komatsu 730E-10,1_2023,1,0.3
328,Самосвалы Komatsu 730E-10,1_2023,1,0.0
329,Самосвалы Komatsu 730E-10,1_2023,1,0.0
330,Самосвалы Komatsu 730E-10,1_2023,1,0.0
331,Самосвалы Komatsu 730E-10,1_2023,1,0.0
332,Самосвалы Komatsu 730E-10,1_2023,1,0.0
333,Самосвалы Komatsu 730E-10,1_2023,1,0.0
334,Самосвалы Komatsu 730E-10,1_2023,1,0.0
335,Самосвалы Komatsu 730E-10,1_2023,1,0.0
336,Самосвалы Komatsu 730E-10,1_2023,1,0.0
337,Самосвалы Komatsu 730E-10,1_2023,1,0.0
338,Самосвалы Komatsu 730E-10,1_2023,1,0.0
339,Самосвалы Komatsu 730E-10,1_2023,1,0.0
340,Самосвалы Komatsu 730E-10,1_2023,1,0.0
341,Самосвалы Komatsu 730E-10,1_2023,1,0.0
342,Самосвалы Komatsu 730E-10,1_2023,1,0.0
343,Самосвалы Komatsu 730E-10,1_2023,1,0.0
344,Самосвалы Komatsu 730E-10,1_2023,1,0.0
345,Самосвалы Komatsu 730E-10,1_2023,1,0.0
346,Самосвалы Komatsu 730E-10,1_2023,1,0.0
347,Самосвалы Komatsu 730E-10,1_2023,1,0.0
348,Самосвалы Komatsu 730E-10,1_2023,1,0.0
349,Самосвалы Komatsu 730E-10,1_2023,1,0.0
350,Самосвалы Komatsu 730E-10,1_2023,1,0.3
351,Самосвалы Komatsu 730E-10,1_2023,1,1.0
352,Самосвалы Komatsu 730E-10,1_2023,1,0.0
353,Самосвалы Komatsu 730E-10,1_2023,1,0.0
354,Самосвалы Komatsu 730E-10,1_2023,1,0.0
355,Самосвалы Komatsu 730E-10,1_2023,1,0.0
356,Самосвалы Komatsu 730E-10,1_2023,1,0.0
357,Самосвалы Komatsu 730E-10,1_2023,1,0.0
358,Самосвалы Komatsu 730E-10,1_2023,1,0.0
359,Самосвалы Komatsu 730E-10,1_2023,1,0.0
360,Самосвалы Komatsu 730E-10,1_2023,1,0.0
361,Самосвалы Komatsu 730E-10,1_2023,1,0.0
362,Самосвалы Komatsu 730E-10,1_2023,1,0.0
363,Самосвалы Komatsu 730E-10,1_2023,1,0.0
364,Самосвалы Komatsu 730E-10,1_2023,1,0.0
365,Самосвалы Komatsu 730E-10,1_2023,1,0.0
366,Самосвалы Komatsu 730E-10,1_2023,1,0.0
367,Самосвалы Komatsu 730E-10,1_2023,1,0.0
368,Самосвалы Komatsu 730E-10,1_2023,1,0.0
369,Самосвалы Komatsu 730E-10,1_2023,1,0.0
370,Самосвалы Komatsu 730E-10,1_2023,1,0.0
371,Самосвалы Komatsu 730E-10,1_2023,1,0.0
372,Самосвалы Komatsu 730E-10,1_2023,1,0.0
373,Самосвалы Komatsu 730E-10,1_2023,1,0.0
374,Самосвалы Komatsu 730E-10,1_2023,1,1.0
375,Самосвалы Komatsu 730E-10,1_2023,1,1.0
376,Самосвалы Komatsu 730E-10,1_2023,1,1.0
377,Самосвалы Komatsu 730E-10,1_2023,1,1.0
378,Самосвалы Komatsu 730E-10,1_2023,1,1.0
379,Самосвалы Komatsu 730E-10,1_2023,1,1.0
380,Самосвалы Komatsu 730E-10,1_2023,1,1.0
381,Самосвалы Komatsu 730E-10,1_2023,1,1.0
382,Самосвалы Komatsu 730E-10,1_2023,1,1.0
383,Самосвалы Komatsu 730E-10,1_2023,1,1.0
384,Самосвалы Komatsu 730E-10,1_2023,1,1.0
385,Самосвалы Komatsu 730E-10,1_2023,1,1.0
386,Самосвалы Komatsu 730E-10,1_2023,1,1.0
387,Самосвалы Komatsu 730E-10,1_2023,1,1.0
388,Самосвалы Komatsu 730E-10,1_2023,1,1.0
389,Самосвалы Komatsu 730E-10,1_2023,1,1.0
390,Самосвалы Komatsu 730E-10,1_2023,1,1.0
391,Самосвалы Komatsu 730E-10,1_2023,1,1.0
392,Самосвалы Komatsu 730E-10,1_2023,1,1.0
393,Самосвалы Komatsu 730E-10,1_2023,1,1.0
394,Самосвалы Komatsu 730E-10,1_2023,1,1.0
395,Самосвалы Komatsu 730E-10,1_2023,1,1.0
396,Самосвалы Komatsu 730E-10,1_2023,1,1.0
397,Самосвалы Komatsu 730E-10,1_2023,1,1.0
398,Самосвалы Komatsu 730E-10,1_2023,1,1.0
399,Самосвалы Komatsu 730E-10,1_2023,1,1.0
400,Самосвалы Komatsu 730E-10,1_2023,1,1.0
401,Самосвалы Komatsu 730E-10,1_2023,1,1.0
402,Самосвалы Komatsu 730E-10,1_2023,1,1.0
403,Самосвалы Komatsu 730E-10,1_2023,1,1.0
404,Самосвалы Komatsu 730E-10,1_2023,1,1.0
405,Самосвалы Komatsu 730E-10,1_2023,1,1.0
406,Самосвалы Komatsu 730E-10,1_2023,1,1.0
407,Самосвалы Komatsu 730E-10,1_2023,1,1.0
408,Самосвалы Komatsu 730E-10,1_2023,1,1.0
409,Самосвалы Komatsu 730E-10,1_2023,1,1.0
410,Самосвалы Komatsu 730E-10,1_2023,1,1.0
411,Самосвалы Komatsu 730E-10,1_2023,1,1.0
412,Самосвалы Komatsu 730E-10,1_2023,1,1.0
413,Самосвалы Komatsu 730E-10,1_2023,1,1.0
414,Самосвалы Komatsu 730E-10,1_2023,1,1.0
415,Самосвалы Komatsu 730E-10,1_2023,1,1.0
416,Самосвалы Komatsu 730E-10,1_2023,1,1.0
417,Самосвалы Komatsu 730E-10,1_2023,1,1.0
418,Самосвалы Komatsu 730E-10,1_2023,1,1.0
419,Самосвалы Komatsu 730E-10,1_2023,1,1.0
420,Самосвалы Komatsu 730E-10,1_2023,1,0.0
421,Самосвалы Komatsu 730E-10,1_2023,1,0.0
422,Самосвалы Komatsu 730E-10,1_2023,1,0.0
423,Самосвалы Komatsu 730E-10,1_2023,1,0.0
424,Самосвалы Komatsu 730E-10,1_2023,1,0.0
425,Самосвалы Komatsu 730E-10,1_2023,1,0.0
426,Самосвалы Komatsu 730E-10,1_2023,1,0.0
427,Самосвалы Komatsu 730E-10,1_2023,1,0.0
428,Самосвалы Komatsu 730E-10,1_2023,1,0.0
429,Самосвалы Komatsu 730E-10,1_2023,1,0.0
430,Самосвалы Komatsu 730E-10,1_2023,1,0.0
431,Самосвалы Komatsu 730E-10,1_2023,1,0.3
432,Самосвалы Komatsu 730E-10,1_2023,1,0.0
433,Самосвалы Komatsu 730E-10,1_2023,1,0.0
434,Самосвалы Komatsu 730E-10,1_2023,1,0.0
435,Самосвалы Komatsu 730E-10,1_2023,1,0.0
436,Самосвалы Komatsu 730E-10,1_2023,1,0.0
437,Самосвалы Komatsu 730E-10,1_2023,1,0.0
438,Самосвалы Komatsu 730E-10,1_2023,1,0.0
439,Самосвалы Komatsu 730E-10,1_2023,1,0.0
440,Самосвалы Komatsu 730E-10,1_2023,1,0.0
441,Самосвалы Komatsu 730E-10,1_2023,1,0.0
442,Самосвалы Komatsu 730E-10,1_2023,1,0.0
443,Самосвалы Komatsu 730E-10,1_2023,1,1.0
444,Самосвалы Komatsu 730E-10,1_2023,1,0.0
445,Самосвалы Komatsu 730E-10,1_2023,1,0.0
446,Самосвалы Komatsu 730E-10,1_2023,1,0.0
447,Самосвалы Komatsu 730E-10,1_2023,1,0.0
448,Самосвалы Komatsu 730E-10,1_2023,1,0.0
449,Самосвалы Komatsu 730E-10,1_2023,1,0.0
450,Самосвалы Komatsu 730E-10,1_2023,1,0.0
451,Самосвалы Komatsu 730E-10,1_2023,1,0.0
452,Самосвалы Komatsu 730E-10,1_2023,1,1.0
453,Самосвалы Komatsu 730E-10,1_2023,1,0.0
454,Самосвалы Komatsu 730E-10,1_2023,1,0.3
455,Самосвалы Komatsu 730E-10,1_2023,1,0.0
456,Самосвалы Komatsu 730E-10,1_2023,1,0.0
457,Самосвалы Komatsu 730E-10,1_2023,1,0.0
458,Самосвалы Komatsu 730E-10,1_2023,1,0.0
459,Самосвалы Komatsu 730E-10,1_2023,1,0.0
460,Самосвалы Komatsu 730E-10,1_2023,1,0.0
461,Самосвалы Komatsu 730E-10,1_2023,1,0.0
462,Самосвалы Komatsu 730E-10,1_2023,1,0.0
463,Самосвалы Komatsu 730E-10,1_2023,1,0.0
