ПозПредупредТОРО,ПланПредупрТОРО,Позиция предупред. ТОРО - описание,Группа плановиков,Единица оборудования,Вид работы ТОРО,Вид заказа,Тип техкарты,Группа,СчетГруппТехкарт,updated-counter,strategy_str_counter,gruppa_str_counter,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч"
35349,100000019969,Техническое обслуживание 4,100,100000008673,ТО4,APP1,A,O0000001,О4,О4,2-0255_strО4,O0000001_strО4,"54,600","46,600"
35350,100000019969,Техническое обслуживание 5,100,100000008673,ТО5,APP1,A,O0000001,О5,О5,2-0255_strО5,O0000001_strО5,"178,400","96,900"
35351,100000019970,Замена конечной передачи,100,100000008673,ЗМН,APP1,A,O0000001,ЗП,ЗП,2-0258_strЗП,O0000001_strЗП,"72,000","34,500"
35352,100000019971,Замена кузова,100,100000008673,ЗМН,APP1,A,O0000001,ЗЗ,ЗЗ,2-0259_strЗЗ,O0000001_strЗЗ,"77,800","33,800"
35353,100000019972,ТР электрооборудования,100,100000008673,ТР,APP1,A,O0000001,87,87,2-0260_str87,O0000001_str87,"17,000","14,000"
35354,100000019973,ТР пневмосистемы,100,100000008673,ТР,APP1,A,O0000001,ТП,ТП,2-0261_strТП,O0000001_strТП,"46,000","18,000"
35355,100000019974,ТР рулевого управления,100,100000008673,ТР,APP1,A,O0000001,ТУ,ТУ,2-0262_strТУ,O0000001_strТУ,"92,000","45,000"
35356,100000019975,Замена колеса,100,100000008673,ЗМН,APP1,A,O0000001,ЗС,ЗС,2-0286_strЗС,O0000001_strЗС,"19,700","14,000"
35357,100000019976,ТР двигателя,100,100000008673,ТР,APP1,A,O0000001,70,70,2-0312_str70,O0000001_str70,,
35358,100000019976,Замена двигателя,100,100000008673,ЗМН,APP1,A,O0000001,ЗД,ЗД,2-0312_strЗД,O0000001_strЗД,"214,500","107,500"
35359,100000019977,Замена коробки передач,100,100000008673,ЗМН,APP1,A,O0000001,ЗК,ЗК,2-0313_strЗК,O0000001_strЗК,"59,500","36,500"
35360,100000019978,Замена гидротрансформатора,100,100000008673,ЗМН,APP1,A,O0000001,ЗГ,ЗГ,2-0314_strЗГ,O0000001_strЗГ,"196,500","86,000"
35361,100000019978,КР гидротрансформатора,100,100000008673,КР,APP1,A,O0000001,8,8,2-0314_str8,O0000001_str8,"720,000","240,000"
35362,100000019979,КР гидросистемы,100,100000008673,КР,APP1,A,O0000001,7,7,2-0315_str7,O0000001_str7,"360,000","120,000"
35363,100000019980,КР ступицы,100,100000008674,КР,APP1,A,O0000001,31,31,2-0162_str31,O0000001_str31,"144,000","48,000"
35364,100000019981,КР подвески задней,100,100000008674,КР,APP1,A,O0000001,28,28,2-0227_str28,O0000001_str28,"72,000","24,000"
35365,100000019982,КР подвески передней,100,100000008674,КР,APP1,A,O0000001,29,29,2-0228_str29,O0000001_str29,"144,000","48,000"
35366,100000019983,Техническое обслуживание 1,100,100000008674,ТО1,APP1,A,O0000001,О1,О1,2-0255_strО1,O0000001_strО1,"23,300","21,800"
35367,100000019983,Техническое обслуживание 2,100,100000008674,ТО2,APP1,A,O0000001,О2,О2,2-0255_strО2,O0000001_strО2,"29,100","27,600"
35368,100000019983,Техническое обслуживание 3,100,100000008674,ТО3,APP1,A,O0000001,О3,О3,2-0255_strО3,O0000001_strО3,"36,100","33,100"
35369,100000019983,Техническое обслуживание 4,100,100000008674,ТО4,APP1,A,O0000001,О4,О4,2-0255_strО4,O0000001_strО4,"54,600","46,600"
35370,100000019983,Техническое обслуживание 5,100,100000008674,ТО5,APP1,A,O0000001,О5,О5,2-0255_strО5,O0000001_strО5,"178,400","96,900"
35371,100000019984,Замена конечной передачи,100,100000008674,ЗМН,APP1,A,O0000001,ЗП,ЗП,2-0258_strЗП,O0000001_strЗП,"72,000","34,500"
35372,100000019985,Замена кузова,100,100000008674,ЗМН,APP1,A,O0000001,ЗЗ,ЗЗ,2-0259_strЗЗ,O0000001_strЗЗ,"77,800","33,800"
35373,100000019986,ТР электрооборудования,100,100000008674,ТР,APP1,A,O0000001,87,87,2-0260_str87,O0000001_str87,"17,000","14,000"
35374,100000019987,ТР пневмосистемы,100,100000008674,ТР,APP1,A,O0000001,ТП,ТП,2-0261_strТП,O0000001_strТП,"46,000","18,000"
35375,100000019988,ТР рулевого управления,100,100000008674,ТР,APP1,A,O0000001,ТУ,ТУ,2-0262_strТУ,O0000001_strТУ,"92,000","45,000"
35376,100000019989,Замена колеса,100,100000008674,ЗМН,APP1,A,O0000001,ЗС,ЗС,2-0286_strЗС,O0000001_strЗС,"19,700","14,000"
35377,100000019990,ТР двигателя,100,100000008674,ТР,APP1,A,O0000001,70,70,2-0312_str70,O0000001_str70,,
35378,100000019990,Замена двигателя,100,100000008674,ЗМН,APP1,A,O0000001,ЗД,ЗД,2-0312_strЗД,O0000001_strЗД,"214,500","107,500"
35379,100000019991,Замена коробки передач,100,100000008674,ЗМН,APP1,A,O0000001,ЗК,ЗК,2-0313_strЗК,O0000001_strЗК,"59,500","36,500"
35380,100000019992,Замена гидротрансформатора,100,100000008674,ЗМН,APP1,A,O0000001,ЗГ,ЗГ,2-0314_strЗГ,O0000001_strЗГ,"196,500","86,000"
35381,100000019992,КР гидротрансформатора,100,100000008674,КР,APP1,A,O0000001,8,8,2-0314_str8,O0000001_str8,"720,000","240,000"
35382,100000019993,КР гидросистемы,100,100000008674,КР,APP1,A,O0000001,7,7,2-0315_str7,O0000001_str7,"360,000","120,000"
35383,100000019994,Техническое обслуживание 1,100,100000008675,ТО1,APP1,A,O0000015,О1,О1,2-0164_strО1,O0000015_strО1,"10,800","9,200"
35384,100000019994,Техническое обслуживание 2,100,100000008675,ТО2,APP1,A,O0000015,О2,О2,2-0164_strО2,O0000015_strО2,"12,100","9,900"
35385,100000019994,Техническое обслуживание 3,100,100000008675,ТО3,APP1,A,O0000015,О3,О3,2-0164_strО3,O0000015_strО3,"26,100","21,400"
35386,100000019994,Техническое обслуживание 4,100,100000008675,ТО4,APP1,A,O0000015,О4,О4,2-0164_strО4,O0000015_strО4,"243,600","144,900"
35387,100000019995,КР ходовой части,100,100000008675,КР,APP1,A,O0000015,34,34,2-0205_str34,O0000015_str34,"360,000","120,000"
35388,100000019996,ТР электрооборудования,100,100000008675,ТР,APP1,A,O0000015,87,87,2-0268_str87,O0000015_str87,"31,600","30,600"
35389,100000019997,ТР1 рабочего оборудования,100,100000008675,ТР1,APP1,A,O0000015,РО,РО,2-0278_strРО,O0000015_strРО,"81,200","39,600"
35390,100000019997,ТР2 рабочего оборудования,100,100000008675,ТР2,APP1,A,O0000015,Р2,Р2,2-0278_strР2,O0000015_strР2,"329,200","113,600"
35391,100000019998,ТР гидросистемы,100,100000008675,ТР,APP1,A,O0000015,69,69,2-0324_str69,O0000015_str69,"250,000","115,000"
35392,100000019998,КР гидросистемы,100,100000008675,КР,APP1,A,O0000015,7,7,2-0324_str7,O0000015_str7,"672,000","168,000"
35393,100000019999,ТР двигателя,100,100000008675,ТР,APP1,A,O0000015,70,70,2-0331_str70,O0000015_str70,"25,600","16,000"
35394,100000019999,Замена двигателя,100,100000008675,ЗМН,APP1,A,O0000015,ЗД,ЗД,2-0331_strЗД,O0000015_strЗД,"275,600","139,300"
35395,100000020000,Техническое обслуживание 1,100,100000008676,ТО1,APP1,A,O0000015,О1,О1,2-0164_strО1,O0000015_strО1,"10,800","9,200"
35396,100000020000,Техническое обслуживание 2,100,100000008676,ТО2,APP1,A,O0000015,О2,О2,2-0164_strО2,O0000015_strО2,"12,100","9,900"
35397,100000020000,Техническое обслуживание 3,100,100000008676,ТО3,APP1,A,O0000015,О3,О3,2-0164_strО3,O0000015_strО3,"26,100","21,400"
35398,100000020000,Техническое обслуживание 4,100,100000008676,ТО4,APP1,A,O0000015,О4,О4,2-0164_strО4,O0000015_strО4,"243,600","144,900"
35399,100000020001,ТР электрооборудования,100,100000008676,ТР,APP1,A,O0000015,87,87,2-0268_str87,O0000015_str87,"31,600","30,600"
35400,100000020002,ТР1 рабочего оборудования,100,100000008676,ТР1,APP1,A,O0000015,РО,РО,2-0278_strРО,O0000015_strРО,"81,200","39,600"
35401,100000020002,ТР2 рабочего оборудования,100,100000008676,ТР2,APP1,A,O0000015,Р2,Р2,2-0278_strР2,O0000015_strР2,"329,200","113,600"
35402,100000020003,ТР гидросистемы,100,100000008676,ТР,APP1,A,O0000015,69,69,2-0324_str69,O0000015_str69,"250,000","115,000"
35403,100000020003,КР гидросистемы,100,100000008676,КР,APP1,A,O0000015,7,7,2-0324_str7,O0000015_str7,"672,000","168,000"
35404,100000020004,ТР двигателя,100,100000008676,ТР,APP1,A,O0000015,70,70,2-0331_str70,O0000015_str70,"25,600","16,000"
35405,100000020004,Замена двигателя,100,100000008676,ЗМН,APP1,A,O0000015,ЗД,ЗД,2-0331_strЗД,O0000015_strЗД,"275,600","139,300"
35406,100000020005,Техническое обслуживание 1,100,100000008677,ТО1,APP1,A,O0000015,О1,О1,2-0164_strО1,O0000015_strО1,"10,800","9,200"
35407,100000020005,Техническое обслуживание 2,100,100000008677,ТО2,APP1,A,O0000015,О2,О2,2-0164_strО2,O0000015_strО2,"12,100","9,900"
35408,100000020005,Техническое обслуживание 3,100,100000008677,ТО3,APP1,A,O0000015,О3,О3,2-0164_strО3,O0000015_strО3,"26,100","21,400"
35409,100000020005,Техническое обслуживание 4,100,100000008677,ТО4,APP1,A,O0000015,О4,О4,2-0164_strО4,O0000015_strО4,"243,600","144,900"
35410,100000020006,КР ходовой части,100,100000008677,КР,APP1,A,O0000015,34,34,2-0205_str34,O0000015_str34,"360,000","120,000"
35411,100000020007,ТР электрооборудования,100,100000008677,ТР,APP1,A,O0000015,87,87,2-0268_str87,O0000015_str87,"31,600","30,600"
35412,100000020008,ТР1 рабочего оборудования,100,100000008677,ТР1,APP1,A,O0000015,РО,РО,2-0278_strРО,O0000015_strРО,"81,200","39,600"
35413,100000020008,ТР2 рабочего оборудования,100,100000008677,ТР2,APP1,A,O0000015,Р2,Р2,2-0278_strР2,O0000015_strР2,"329,200","113,600"
35414,100000020009,ТР гидросистемы,100,100000008677,ТР,APP1,A,O0000015,69,69,2-0324_str69,O0000015_str69,"250,000","115,000"
35415,100000020009,КР гидросистемы,100,100000008677,КР,APP1,A,O0000015,7,7,2-0324_str7,O0000015_str7,"672,000","168,000"
35416,100000020010,ТР двигателя,100,100000008677,ТР,APP1,A,O0000015,70,70,2-0331_str70,O0000015_str70,"25,600","16,000"
35417,100000020010,Замена двигателя,100,100000008677,ЗМН,APP1,A,O0000015,ЗД,ЗД,2-0331_strЗД,O0000015_strЗД,"275,600","139,300"
35418,100000020011,Техническое обслуживание 1,100,100000008678,ТО1,APP1,A,O0000015,О1,О1,2-0164_strО1,O0000015_strО1,"10,800","9,200"
35419,100000020011,Техническое обслуживание 2,100,100000008678,ТО2,APP1,A,O0000015,О2,О2,2-0164_strО2,O0000015_strО2,"12,100","9,900"
35420,100000020011,Техническое обслуживание 3,100,100000008678,ТО3,APP1,A,O0000015,О3,О3,2-0164_strО3,O0000015_strО3,"26,100","21,400"
35421,100000020011,Техническое обслуживание 4,100,100000008678,ТО4,APP1,A,O0000015,О4,О4,2-0164_strО4,O0000015_strО4,"243,600","144,900"
35422,100000020012,КР ходовой части,100,100000008678,КР,APP1,A,O0000015,34,34,2-0205_str34,O0000015_str34,"360,000","120,000"
35423,100000020013,ТР электрооборудования,100,100000008678,ТР,APP1,A,O0000015,87,87,2-0268_str87,O0000015_str87,"31,600","30,600"
35424,100000020014,ТР1 рабочего оборудования,100,100000008678,ТР1,APP1,A,O0000015,РО,РО,2-0278_strРО,O0000015_strРО,"81,200","39,600"
35425,100000020014,ТР2 рабочего оборудования,100,100000008678,ТР2,APP1,A,O0000015,Р2,Р2,2-0278_strР2,O0000015_strР2,"329,200","113,600"
35426,100000020015,ТР гидросистемы,100,100000008678,ТР,APP1,A,O0000015,69,69,2-0324_str69,O0000015_str69,"250,000","115,000"
35427,100000020015,КР гидросистемы,100,100000008678,КР,APP1,A,O0000015,7,7,2-0324_str7,O0000015_str7,"672,000","168,000"
35428,100000020016,ТР двигателя,100,100000008678,ТР,APP1,A,O0000015,70,70,2-0331_str70,O0000015_str70,"25,600","16,000"
35429,100000020016,Замена двигателя,100,100000008678,ЗМН,APP1,A,O0000015,ЗД,ЗД,2-0331_strЗД,O0000015_strЗД,"275,600","139,300"
35430,100000020017,КР гидросистемы,100,100000008679,КР,APP1,A,O0000014,7,7,2-0186_str7,O0000014_str7,"672,000","168,000"
35431,100000020018,КР ходовой части,100,100000008679,КР,APP1,A,O0000014,34,34,2-0205_str34,O0000014_str34,"360,000","120,000"
35432,100000020019,ТР гидросистемы,100,100000008679,ТР,APP1,A,O0000014,69,69,2-0218_str69,O0000014_str69,"307,200","155,200"
35433,100000020020,ТР электрооборудования,100,100000008679,ТР,APP1,A,O0000014,87,87,2-0268_str87,O0000014_str87,"45,300","44,300"
35434,100000020021,ТР двигателя,100,100000008679,ТР,APP1,A,O0000014,70,70,2-0269_str70,O0000014_str70,"122,000","70,000"
35435,100000020021,Замена двигателя,100,100000008679,ЗМН,APP1,A,O0000014,ЗД,ЗД,2-0269_strЗД,O0000014_strЗД,"288,600","152,300"
35436,100000020022,ТР1 рабочего оборудования,100,100000008679,ТР1,APP1,A,O0000014,РО,РО,2-0278_strРО,O0000014_strРО,"23,500","17,500"
35437,100000020022,ТР2 рабочего оборудования,100,100000008679,ТР2,APP1,A,O0000014,Р2,Р2,2-0278_strР2,O0000014_strР2,"318,000","98,000"
35438,100000020023,Техническое обслуживание 1,100,100000008679,ТО1,APP1,A,O0000014,О1,О1,2-0387_strО1,O0000014_strО1,"17,400","15,400"
35439,100000020023,Техническое обслуживание 2,100,100000008679,ТО2,APP1,A,O0000014,О2,О2,2-0387_strО2,O0000014_strО2,"19,900","17,300"
35440,100000020023,Техническое обслуживание 3,100,100000008679,ТО3,APP1,A,O0000014,О3,О3,2-0387_strО3,O0000014_strО3,"34,600","29,400"
35441,100000020023,Техническое обслуживание 4,100,100000008679,ТО4,APP1,A,O0000014,О4,О4,2-0387_strО4,O0000014_strО4,"244,500","145,300"
35442,100000020024,ТР электрооборудования,100,100000008683,ТР,APP1,A,O0000959,87,87,2-0249_str87,O0000959_str87,"55,600","45,600"
35443,100000020025,ТР1 рабочего оборудования,100,100000008683,ТР1,APP1,A,O0000959,РО,РО,2-0250_strРО,O0000959_strРО,"79,000","39,500"
35444,100000020025,ТР2 рабочего оборудования,100,100000008683,ТР2,APP1,A,O0000959,Р2,Р2,2-0250_strР2,O0000959_strР2,"341,000","158,500"
35445,100000020026,ТР ходовой части,100,100000008683,ТР,APP1,A,O0000959,85,85,2-0254_str85,O0000959_str85,"157,800","79,800"
35446,100000020027,Техническое обслуживание 1,100,100000008683,ТО1,APP1,A,O0000959,О1,О1,2-0287_strО1,O0000959_strО1,"10,900","10,900"
35447,100000020027,Техническое обслуживание 2,100,100000008683,ТО2,APP1,A,O0000959,О2,О2,2-0287_strО2,O0000959_strО2,,
35448,100000020027,Техническое обслуживание 3,100,100000008683,ТО3,APP1,A,O0000959,О3,О3,2-0287_strО3,O0000959_strО3,"19,700","18,700"
35449,100000020027,Техническое обслуживание 4,100,100000008683,ТО4,APP1,A,O0000959,О4,О4,2-0287_strО4,O0000959_strО4,"36,400","31,900"
35450,100000020027,Техническое обслуживание 5,100,100000008683,ТО5,APP1,A,O0000959,О5,О5,2-0287_strО5,O0000959_strО5,"87,700","75,200"
35451,100000020028,ТР трансмиссии,100,100000008683,ТР,APP1,A,O0000959,82,82,2-0322_str82,O0000959_str82,"49,200","29,700"
35452,100000020028,КР трансмиссии,100,100000008683,КР,APP1,A,O0000959,32,32,2-0322_str32,O0000959_str32,"720,000","240,000"
35453,100000020029,ТР двигателя,100,100000008683,ТР,APP1,A,O0000959,70,70,2-0370_str70,O0000959_str70,"54,300","44,800"
35454,100000020029,ТР гидросистемы,100,100000008683,ТР,APP1,A,O0000959,69,69,2-0370_str69,O0000959_str69,"195,300","98,800"
35455,100000020029,КР гидросистемы,100,100000008683,КР,APP1,A,O0000959,7,7,2-0370_str7,O0000959_str7,"360,000","120,000"
35456,100000020029,Замена двигателя,100,100000008683,ЗМН,APP1,A,O0000959,ЗД,ЗД,2-0370_strЗД,O0000959_strЗД,"283,700","120,200"
35457,100000020030,ТР электрооборудования,100,100000008684,ТР,APP1,A,O0000959,87,87,2-0249_str87,O0000959_str87,"55,600","45,600"
35458,100000020031,ТР1 рабочего оборудования,100,100000008684,ТР1,APP1,A,O0000959,РО,РО,2-0250_strРО,O0000959_strРО,"79,000","39,500"
35459,100000020031,ТР2 рабочего оборудования,100,100000008684,ТР2,APP1,A,O0000959,Р2,Р2,2-0250_strР2,O0000959_strР2,"341,000","158,500"
35460,100000020032,ТР ходовой части,100,100000008684,ТР,APP1,A,O0000959,85,85,2-0254_str85,O0000959_str85,"157,800","79,800"
35461,100000020033,Техническое обслуживание 1,100,100000008684,ТО1,APP1,A,O0000959,О1,О1,2-0287_strО1,O0000959_strО1,"10,900","10,900"
35462,100000020033,Техническое обслуживание 2,100,100000008684,ТО2,APP1,A,O0000959,О2,О2,2-0287_strО2,O0000959_strО2,,
35463,100000020033,Техническое обслуживание 3,100,100000008684,ТО3,APP1,A,O0000959,О3,О3,2-0287_strО3,O0000959_strО3,"19,700","18,700"
35464,100000020033,Техническое обслуживание 4,100,100000008684,ТО4,APP1,A,O0000959,О4,О4,2-0287_strО4,O0000959_strО4,"36,400","31,900"
35465,100000020033,Техническое обслуживание 5,100,100000008684,ТО5,APP1,A,O0000959,О5,О5,2-0287_strО5,O0000959_strО5,"87,700","75,200"
35466,100000020034,ТР трансмиссии,100,100000008684,ТР,APP1,A,O0000959,82,82,2-0322_str82,O0000959_str82,"49,200","29,700"
35467,100000020034,КР трансмиссии,100,100000008684,КР,APP1,A,O0000959,32,32,2-0322_str32,O0000959_str32,"720,000","240,000"
35468,100000020035,ТР двигателя,100,100000008684,ТР,APP1,A,O0000959,70,70,2-0370_str70,O0000959_str70,"54,300","44,800"
35469,100000020035,ТР гидросистемы,100,100000008684,ТР,APP1,A,O0000959,69,69,2-0370_str69,O0000959_str69,"195,300","98,800"
35470,100000020035,КР гидросистемы,100,100000008684,КР,APP1,A,O0000959,7,7,2-0370_str7,O0000959_str7,"360,000","120,000"
35471,100000020035,Замена двигателя,100,100000008684,ЗМН,APP1,A,O0000959,ЗД,ЗД,2-0370_strЗД,O0000959_strЗД,"283,700","120,200"
35472,100000020036,ТР электрооборудования,100,100000008685,ТР,APP1,A,O0000959,87,87,2-0249_str87,O0000959_str87,"55,600","45,600"
35473,100000020037,ТР1 рабочего оборудования,100,100000008685,ТР1,APP1,A,O0000959,РО,РО,2-0250_strРО,O0000959_strРО,"79,000","39,500"
35474,100000020037,ТР2 рабочего оборудования,100,100000008685,ТР2,APP1,A,O0000959,Р2,Р2,2-0250_strР2,O0000959_strР2,"341,000","158,500"
35475,100000020038,ТР ходовой части,100,100000008685,ТР,APP1,A,O0000959,85,85,2-0254_str85,O0000959_str85,"157,800","79,800"
35476,100000020039,Техническое обслуживание 1,100,100000008685,ТО1,APP1,A,O0000959,О1,О1,2-0287_strО1,O0000959_strО1,"10,900","10,900"
35477,100000020039,Техническое обслуживание 2,100,100000008685,ТО2,APP1,A,O0000959,О2,О2,2-0287_strО2,O0000959_strО2,,
35478,100000020039,Техническое обслуживание 3,100,100000008685,ТО3,APP1,A,O0000959,О3,О3,2-0287_strО3,O0000959_strО3,"19,700","18,700"
35479,100000020039,Техническое обслуживание 4,100,100000008685,ТО4,APP1,A,O0000959,О4,О4,2-0287_strО4,O0000959_strО4,"36,400","31,900"
35480,100000020039,Техническое обслуживание 5,100,100000008685,ТО5,APP1,A,O0000959,О5,О5,2-0287_strО5,O0000959_strО5,"87,700","75,200"
35481,100000020040,ТР трансмиссии,100,100000008685,ТР,APP1,A,O0000959,82,82,2-0322_str82,O0000959_str82,"49,200","29,700"
35482,100000020040,КР трансмиссии,100,100000008685,КР,APP1,A,O0000959,32,32,2-0322_str32,O0000959_str32,"720,000","240,000"
35483,100000020041,ТР двигателя,100,100000008685,ТР,APP1,A,O0000959,70,70,2-0370_str70,O0000959_str70,"54,300","44,800"
35484,100000020041,ТР гидросистемы,100,100000008685,ТР,APP1,A,O0000959,69,69,2-0370_str69,O0000959_str69,"195,300","98,800"
35485,100000020041,КР гидросистемы,100,100000008685,КР,APP1,A,O0000959,7,7,2-0370_str7,O0000959_str7,"360,000","120,000"
35486,100000020041,Замена двигателя,100,100000008685,ЗМН,APP1,A,O0000959,ЗД,ЗД,2-0370_strЗД,O0000959_strЗД,"283,700","120,200"
35487,100000020042,ТР электрооборудования,100,100000008686,ТР,APP1,A,O0000959,87,87,2-0249_str87,O0000959_str87,"55,600","45,600"
35488,100000020043,ТР1 рабочего оборудования,100,100000008686,ТР1,APP1,A,O0000959,РО,РО,2-0250_strРО,O0000959_strРО,"79,000","39,500"
35489,100000020043,ТР2 рабочего оборудования,100,100000008686,ТР2,APP1,A,O0000959,Р2,Р2,2-0250_strР2,O0000959_strР2,"341,000","158,500"
35490,100000020044,ТР ходовой части,100,100000008686,ТР,APP1,A,O0000959,85,85,2-0254_str85,O0000959_str85,"157,800","79,800"
35491,100000020045,Техническое обслуживание 1,100,100000008686,ТО1,APP1,A,O0000959,О1,О1,2-0287_strО1,O0000959_strО1,"10,900","10,900"
35492,100000020045,Техническое обслуживание 2,100,100000008686,ТО2,APP1,A,O0000959,О2,О2,2-0287_strО2,O0000959_strО2,,
35493,100000020045,Техническое обслуживание 3,100,100000008686,ТО3,APP1,A,O0000959,О3,О3,2-0287_strО3,O0000959_strО3,"19,700","18,700"
35494,100000020045,Техническое обслуживание 4,100,100000008686,ТО4,APP1,A,O0000959,О4,О4,2-0287_strО4,O0000959_strО4,"36,400","31,900"
35495,100000020045,Техническое обслуживание 5,100,100000008686,ТО5,APP1,A,O0000959,О5,О5,2-0287_strО5,O0000959_strО5,"87,700","75,200"
35496,100000020046,ТР трансмиссии,100,100000008686,ТР,APP1,A,O0000959,82,82,2-0322_str82,O0000959_str82,"49,200","29,700"
35497,100000020046,КР трансмиссии,100,100000008686,КР,APP1,A,O0000959,32,32,2-0322_str32,O0000959_str32,"720,000","240,000"
35498,100000020047,ТР двигателя,100,100000008686,ТР,APP1,A,O0000959,70,70,2-0370_str70,O0000959_str70,"54,300","44,800"
35499,100000020047,ТР гидросистемы,100,100000008686,ТР,APP1,A,O0000959,69,69,2-0370_str69,O0000959_str69,"195,300","98,800"
35500,100000020047,КР гидросистемы,100,100000008686,КР,APP1,A,O0000959,7,7,2-0370_str7,O0000959_str7,"360,000","120,000"
35501,100000020047,Замена двигателя,100,100000008686,ЗМН,APP1,A,O0000959,ЗД,ЗД,2-0370_strЗД,O0000959_strЗД,"283,700","120,200"
35502,100000020048,ТР электрооборудования,100,100000008687,ТР,APP1,A,O0000959,87,87,2-0249_str87,O0000959_str87,"55,600","45,600"
35503,100000020049,ТР1 рабочего оборудования,100,100000008687,ТР1,APP1,A,O0000959,РО,РО,2-0250_strРО,O0000959_strРО,"79,000","39,500"
35504,100000020049,ТР2 рабочего оборудования,100,100000008687,ТР2,APP1,A,O0000959,Р2,Р2,2-0250_strР2,O0000959_strР2,"341,000","158,500"
35505,100000020050,ТР ходовой части,100,100000008687,ТР,APP1,A,O0000959,85,85,2-0254_str85,O0000959_str85,"157,800","79,800"
35506,100000020051,Техническое обслуживание 1,100,100000008687,ТО1,APP1,A,O0000959,О1,О1,2-0287_strО1,O0000959_strО1,"10,900","10,900"
35507,100000020051,Техническое обслуживание 2,100,100000008687,ТО2,APP1,A,O0000959,О2,О2,2-0287_strО2,O0000959_strО2,,
35508,100000020051,Техническое обслуживание 3,100,100000008687,ТО3,APP1,A,O0000959,О3,О3,2-0287_strО3,O0000959_strО3,"19,700","18,700"
35509,100000020051,Техническое обслуживание 4,100,100000008687,ТО4,APP1,A,O0000959,О4,О4,2-0287_strО4,O0000959_strО4,"36,400","31,900"
35510,100000020051,Техническое обслуживание 5,100,100000008687,ТО5,APP1,A,O0000959,О5,О5,2-0287_strО5,O0000959_strО5,"87,700","75,200"
35511,100000020052,ТР трансмиссии,100,100000008687,ТР,APP1,A,O0000959,82,82,2-0322_str82,O0000959_str82,"49,200","29,700"
35512,100000020052,КР трансмиссии,100,100000008687,КР,APP1,A,O0000959,32,32,2-0322_str32,O0000959_str32,"720,000","240,000"
35513,100000020053,ТР двигателя,100,100000008687,ТР,APP1,A,O0000959,70,70,2-0370_str70,O0000959_str70,"54,300","44,800"
35514,100000020053,ТР гидросистемы,100,100000008687,ТР,APP1,A,O0000959,69,69,2-0370_str69,O0000959_str69,"195,300","98,800"
35515,100000020053,КР гидросистемы,100,100000008687,КР,APP1,A,O0000959,7,7,2-0370_str7,O0000959_str7,"360,000","120,000"
35516,100000020053,Замена двигателя,100,100000008687,ЗМН,APP1,A,O0000959,ЗД,ЗД,2-0370_strЗД,O0000959_strЗД,"283,700","120,200"
35851,100000020144,КР гидросистемы,100,100000009130,КР,APP1,A,N0000012,7,7,2-0186_str7,N0000012_str7,"360,000","120,000"
35852,100000020145,КР ходовой части,100,100000009130,КР,APP1,A,N0000012,34,34,2-0188_str34,N0000012_str34,"1 200,000","240,000"
35853,100000020146,КР компрессоров,100,100000009130,КР,APP1,A,N0000012,22,22,2-0190_str22,N0000012_str22,"672,000","168,000"
35854,100000020147,ТР гидросистемы,100,100000009130,ТР,APP1,A,N0000012,69,69,2-0252_str69,N0000012_str69,"605,400","162,100"
35855,100000020148,ТР ходовой части,100,100000009130,ТР,APP1,A,N0000012,85,85,2-0254_str85,N0000012_str85,"354,000","126,000"
35856,100000020149,Техническое обслуживание 1,100,100000009130,ТО1,APP1,A,N0000012,О1,О1,2-0282_strО1,N0000012_strО1,"90,367","51,167"
35857,100000020149,Техническое обслуживание 2,100,100000009130,ТО2,APP1,A,N0000012,О2,О2,2-0282_strО2,N0000012_strО2,"110,600","66,400"
35858,100000020149,Техническое обслуживание 3,100,100000009130,ТО3,APP1,A,N0000012,О3,О3,2-0282_strО3,N0000012_strО3,"271,400","133,200"
35859,100000020150,ТР пневмосистемы,100,100000009130,ТР,APP1,A,N0000012,ТП,ТП,2-0283_strТП,N0000012_strТП,"184,400","76,400"
35860,100000020151,ТР рабочего оборудования,100,100000009130,ТР,APP1,A,N0000012,Р0,Р0,2-0284_strР0,N0000012_strР0,"379,700","130,700"
35861,100000020152,КР гидросистемы,100,100000009131,КР,APP1,A,N0000012,7,7,2-0186_str7,N0000012_str7,"360,000","120,000"
35862,100000020153,КР ходовой части,100,100000009131,КР,APP1,A,N0000012,34,34,2-0188_str34,N0000012_str34,"1 200,000","240,000"
35863,100000020154,КР компрессоров,100,100000009131,КР,APP1,A,N0000012,22,22,2-0190_str22,N0000012_str22,"672,000","168,000"
35864,100000020155,ТР гидросистемы,100,100000009131,ТР,APP1,A,N0000012,69,69,2-0252_str69,N0000012_str69,"605,400","162,100"
35865,100000020156,ТР ходовой части,100,100000009131,ТР,APP1,A,N0000012,85,85,2-0254_str85,N0000012_str85,"354,000","126,000"
35866,100000020157,Техническое обслуживание 1,100,100000009131,ТО1,APP1,A,N0000012,О1,О1,2-0282_strО1,N0000012_strО1,"90,367","51,167"
35867,100000020157,Техническое обслуживание 2,100,100000009131,ТО2,APP1,A,N0000012,О2,О2,2-0282_strО2,N0000012_strО2,"110,600","66,400"
35868,100000020157,Техническое обслуживание 3,100,100000009131,ТО3,APP1,A,N0000012,О3,О3,2-0282_strО3,N0000012_strО3,"271,400","133,200"
