ПозПредупредТОРО,ПланПредупрТОРО,Позиция предупред. ТОРО - описание,Группа плановиков,Единица оборудования,Вид работы ТОРО,Вид заказа,Тип техкарты,Группа,СчетГруппТехкарт,updated-counter,strategy_str_counter,gruppa_str_counter,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч"
9381,100000005039,Техническое обслуживание 3,100,100000006409,ТО3,APP1,A,M0000002,О3,О3,2-0171_strО3,M0000002_strО3,"48,000","24,000"
9382,100000005039,Техническое обслуживание 6,100,100000006409,ТО6,APP1,A,M0000002,О6,О6,2-0171_strО6,M0000002_strО6,"72,000","36,000"
9383,100000005040,Замена2 двигателя,100,100000006409,ЗМН,APP1,A,M0000002,48,Д2,2-0172_strД2,M0000002_str48,"288,000","96,000"
9384,100000005040,Замена1 двигателя,100,100000006409,ЗМН,APP1,A,M0000002,40,Д1,2-0172_strД1,M0000002_str40,"288,000","96,000"
9385,100000005041,Замена1 коробки передач,100,100000006409,ЗМН,APP1,A,M0000002,41,П1,2-0173_strП1,M0000002_str41,"288,000","96,000"
9386,100000005041,Замена2 коробки передач,100,100000006409,ЗМН,APP1,A,M0000002,49,П2,2-0173_strП2,M0000002_str49,"288,000","96,000"
9387,100000005042,Текущий ремонт,100,100000006410,ТР,APP1,A,M0000002,ТР,ТР,1-0007_strТР,M0000002_strТР,"30,000","10,000"
9388,100000005043,ТР дополнительных систем,100,100000006410,ТР,APP1,A,M0000002,71,71,1-0083_str71,M0000002_str71,"15,000","5,000"
9389,100000005044,Замена кузова,100,100000006410,ЗМН,APP1,A,M0000002,ЗЗ,ЗЗ,1-0084_strЗЗ,M0000002_strЗЗ,"72,000","24,000"
9390,100000005045,ТР электрических систем,100,100000006410,ТР,APP1,A,M0000002,ТЭ,ТЭ,1-0085_strТЭ,M0000002_strТЭ,"15,000","5,000"
9391,100000005046,КР гидросистемы,100,100000006410,КР,APP1,A,M0000002,7,7,2-0154_str7,M0000002_str7,"360,000","120,000"
9392,100000005046,ТР гидросистемы,100,100000006410,ТР,APP1,A,M0000002,69,69,2-0154_str69,M0000002_str69,"180,000","60,000"
9393,100000005047,Замена дифференциала,100,100000006410,ЗМН,APP1,A,M0000002,ЗФ,ЗФ,2-0157_strЗФ,M0000002_strЗФ,"0,000","0,000"
9394,100000005048,КР подвески задней,100,100000006410,КР,APP1,A,M0000002,28,28,2-0160_str28,M0000002_str28,"72,000","24,000"
9395,100000005049,КР подвески передней,100,100000006410,КР,APP1,A,M0000002,29,29,2-0161_str29,M0000002_str29,"144,000","48,000"
9396,100000005050,КР ступицы,100,100000006410,КР,APP1,A,M0000002,31,31,2-0162_str31,M0000002_str31,"144,000","48,000"
9397,100000005051,Замена конечной передачи,100,100000006410,ЗМН,APP1,A,M0000002,ЗП,ЗП,2-0167_strЗП,M0000002_strЗП,"72,000","24,000"
9398,100000005052,КР гидротрансформатора,100,100000006410,КР,APP1,A,M0000002,8,8,2-0170_str8,M0000002_str8,"720,000","240,000"
