,be,eo_model_name,eo_code,model_hour,year,month,month_year,calendar_fond_status,downtime_status,maintanance_jobs_id,maintanance_name
48,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 00:00:00,2023,1,1_2023,1,0.0,,
49,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 01:00:00,2023,1,1_2023,1,0.0,,
50,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 02:00:00,2023,1,1_2023,1,0.0,,
51,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 03:00:00,2023,1,1_2023,1,0.0,,
52,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 04:00:00,2023,1,1_2023,1,0.0,,
53,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 05:00:00,2023,1,1_2023,1,0.0,,
54,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 06:00:00,2023,1,1_2023,1,0.0,,
55,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 07:00:00,2023,1,1_2023,1,0.0,,
56,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 08:00:00,2023,1,1_2023,1,0.3,100000084492_eto_2023-01-03 08:00:00,ЕТО
57,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 09:00:00,2023,1,1_2023,1,0.0,,
58,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 10:00:00,2023,1,1_2023,1,0.0,,
59,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 11:00:00,2023,1,1_2023,1,0.0,,
60,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 12:00:00,2023,1,1_2023,1,0.0,,
61,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 13:00:00,2023,1,1_2023,1,0.0,,
62,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 14:00:00,2023,1,1_2023,1,0.0,,
63,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 15:00:00,2023,1,1_2023,1,0.0,,
64,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 16:00:00,2023,1,1_2023,1,0.0,,
65,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 17:00:00,2023,1,1_2023,1,0.0,,
66,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 18:00:00,2023,1,1_2023,1,0.0,,
67,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 19:00:00,2023,1,1_2023,1,0.0,,
68,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 20:00:00,2023,1,1_2023,1,0.0,,
69,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 21:00:00,2023,1,1_2023,1,0.0,,
70,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 22:00:00,2023,1,1_2023,1,0.0,,
71,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-03 23:00:00,2023,1,1_2023,1,0.0,,
