,Название стратерии,Единица,Текст цикла ПредупрТОРО,КраткНазвЦикла,Цикл,код_цикла,strategy_str_counter
2366,МТЧ О1360-О2720-Т15760-Т2-КР,МТЧ,Текущий ремонт 1,Т1,5760,2-0676Т1,2-0676_strТ1
2367,МТЧ О1360-О2720-Т15760-Т2-КР,МТЧ,Текущий ремонт 2,Т2,11520,2-0676Т2,2-0676_strТ2
2368,МТЧ О1360-О2720-Т15760-Т2-КР,МТЧ,Капитальный ремонт,КР,46080,2-0676КР,2-0676_strКР
2369,МТЧ О1360-О2720-ТР11520-К46080,МТЧ,Техническое обслуживание 1,О1,360,2-0677О1,2-0677_strО1
2370,МТЧ О1360-О2720-ТР11520-К46080,МТЧ,Техническое обслуживание 2,О2,720,2-0677О2,2-0677_strО2
2371,МТЧ О1360-О2720-ТР11520-К46080,МТЧ,Текущий ремонт,ТР,11520,2-0677ТР,2-0677_strТР
2372,МТЧ О1360-О2720-ТР11520-К46080,МТЧ,Капитальный ремонт,КР,46080,2-0677КР,2-0677_strКР
2373,МТЧ О1360-О2720-ТР5760-КР46080,МТЧ,Техническое обслуживание 1,О1,360,2-0678О1,2-0678_strО1
2374,МТЧ О1360-О2720-ТР5760-КР46080,МТЧ,Техническое обслуживание 2,О2,720,2-0678О2,2-0678_strО2
2375,МТЧ О1360-О2720-ТР5760-КР46080,МТЧ,Текущий ремонт,ТР,5760,2-0678ТР,2-0678_strТР
2376,МТЧ О1360-О2720-ТР5760-КР46080,МТЧ,Капитальный ремонт,КР,46080,2-0678КР,2-0678_strКР
2377,МТЧ О1360-О2720-КР12960,МТЧ,Техническое обслуживание 1,О1,360,2-0679О1,2-0679_strО1
2378,МТЧ О1360-О2720-КР12960,МТЧ,Техническое обслуживание 2,О2,720,2-0679О2,2-0679_strО2
2379,МТЧ О1360-О2720-КР12960,МТЧ,Капитальный ремонт,КР,12960,2-0679КР,2-0679_strКР
2380,МТЧ О1360-О2720-ТР2880-КР8640,МТЧ,Техническое обслуживание 1,О1,360,2-0680О1,2-0680_strО1
2381,МТЧ О1360-О2720-ТР2880-КР8640,МТЧ,Техническое обслуживание 2,О2,720,2-0680О2,2-0680_strО2
2382,МТЧ О1360-О2720-ТР2880-КР8640,МТЧ,Текущий ремонт,ТР,2880,2-0680ТР,2-0680_strТР
2383,МТЧ О1360-О2720-ТР2880-КР8640,МТЧ,Капитальный ремонт,КР,8640,2-0680КР,2-0680_strКР
2384,МТЧ О1360-О2720-ТР11520-К34560,МТЧ,Техническое обслуживание 1,О1,360,2-0681О1,2-0681_strО1
2385,МТЧ О1360-О2720-ТР11520-К34560,МТЧ,Техническое обслуживание 2,О2,720,2-0681О2,2-0681_strО2
2386,МТЧ О1360-О2720-ТР11520-К34560,МТЧ,Текущий ремонт,ТР,11520,2-0681ТР,2-0681_strТР
2387,МТЧ О1360-О2720-ТР11520-К34560,МТЧ,Капитальный ремонт,КР,34560,2-0681КР,2-0681_strКР
2388,МТЧ 0417520,МТЧ,Техническое обслуживание 4,О4,17520,2-0682О4,2-0682_strО4
2389,МТЧ Т12160-Т24320-Т38640,МТЧ,Текущий ремонт 1,Т1,2160,2-0683Т1,2-0683_strТ1
2390,МТЧ Т12160-Т24320-Т38640,МТЧ,Текущий ремонт 2,Т2,4320,2-0683Т2,2-0683_strТ2
2391,МТЧ Т12160-Т24320-Т38640,МТЧ,Текущий ремонт 3,Т3,8640,2-0683Т3,2-0683_strТ3
2392,МТЧ О1720-О24320-О38640,МТЧ,Техническое обслуживание 1,О1,720,2-0684О1,2-0684_strО1
2393,МТЧ О1720-О24320-О38640,МТЧ,Техническое обслуживание 2,О2,4320,2-0684О2,2-0684_strО2
2394,МТЧ О1720-О24320-О38640,МТЧ,Техническое обслуживание 3,О3,8640,2-0684О3,2-0684_strО3
2395,МТЧ 8612000-2622000,МТЧ,ТР эл.оборудования,86,12000,2-068586,2-0685_str86
2396,МТЧ 8612000-2622000,МТЧ,КР эл.оборудования,36,22000,2-068536,2-0685_str36
2397,МТЧ ЗО28000,МТЧ,Замена рабочего оборудования,ЗО,28000,2-0686ЗО,2-0686_strЗО
2398,МТЧ 7016000,МТЧ,ТР двигателя,70,16000,2-068770,2-0687_str70
2399,МТЧ Р05000,МТЧ,ТР рабочего оборудования,Р0,5000,2-0688Р0,2-0688_strР0
2400,МТЧ ЗР6000,МТЧ,Замена редуктора пов.платформы,ЗМ,6000,2-0689ЗМ,2-0689_strЗМ
2401,МТЧ Т13000-Т26000-Т315000-Т430,МТЧ,Текущий ремонт 1,Т1,3000,2-0690Т1,2-0690_strТ1
2402,МТЧ Т13000-Т26000-Т315000-Т430,МТЧ,Текущий ремонт 2,Т2,6000,2-0690Т2,2-0690_strТ2
2403,МТЧ Т13000-Т26000-Т315000-Т430,МТЧ,Текущий ремонт 3,Т3,15000,2-0690Т3,2-0690_strТ3
2404,МТЧ Т13000-Т26000-Т315000-Т430,МТЧ,Текущий ремонт 4,Т4,30000,2-0690Т4,2-0690_strТ4
