Тип техкарты,Группа,СчтГрупТехкарт,Описание,Гр. плановиков,Стратегия,Метка удаления,Тип конструкции,Статус,Дата изменения,Дата создания,Действит. с,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",gruppa_str_counter
A,A0006844,ТР,Текущий ремонт,200,1-2015,,960006844,4,2020-12-08,2020-12-07,2019-06-01,"7,000","2,000",A0006844_strТР
A,A0006845,ТО,Техническое обслуживание,200,1-2015,,960006845,4,2020-12-08,2020-12-07,2019-06-01,"0,700","0,200",A0006845_strТО
A,A0006845,ТР,Текущий ремонт,200,1-2015,,960006845,4,2020-12-08,2020-12-07,2019-06-01,"7,000","2,000",A0006845_strТР
A,A0006846,ТО,Техническое обслуживание,200,1-2015,,960006846,4,2020-12-08,2020-12-07,2019-06-01,"0,700","0,200",A0006846_strТО
A,A0006846,ТР,Текущий ремонт,200,1-2015,,960006846,4,2020-12-08,2020-12-07,2019-06-01,"7,000","2,000",A0006846_strТР
A,A0006847,ТО,Техническое обслуживание,200,1-2015,,960006847,4,2020-12-08,2020-12-07,2019-06-01,"1,200","0,400",A0006847_strТО
A,A0006847,ТР,Текущий ремонт,200,1-2015,,960006847,4,2020-12-08,2020-12-07,2019-06-01,"12,000","4,000",A0006847_strТР
A,A0006848,ТО,Техническое обслуживание,200,1-2015,,960006848,4,2020-12-08,2020-12-07,2019-06-01,"1,100","0,400",A0006848_strТО
A,A0006848,ТР,Текущий ремонт,200,1-2015,,960006848,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006848_strТР
A,A0006849,ТО,Техническое обслуживание,200,1-2015,,960006849,4,2020-12-08,2020-12-07,2019-06-01,"1,100","0,400",A0006849_strТО
A,A0006849,ТР,Текущий ремонт,200,1-2015,,960006849,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006849_strТР
A,A0006851,ТО,Техническое обслуживание,200,1-2015,,960006851,4,2020-12-08,2020-12-07,2019-06-01,"1,200","0,400",A0006851_strТО
A,A0006851,ТР,Текущий ремонт,200,1-2015,,960006851,4,2020-12-08,2020-12-07,2019-06-01,"12,000","4,000",A0006851_strТР
A,A0006852,ТО,Техническое обслуживание,200,1-2015,,960006852,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006852_strТО
A,A0006852,ТР,Текущий ремонт,200,1-2015,,960006852,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006852_strТР
A,A0006855,ТО,Техническое обслуживание,200,1-2015,,960006855,4,2020-12-08,2020-12-07,2019-06-01,"0,800","0,200",A0006855_strТО
A,A0006855,ТР,Текущий ремонт,200,1-2015,,960006855,4,2020-12-08,2020-12-07,2019-06-01,"8,000","2,000",A0006855_strТР
A,A0006856,ТО,Техническое обслуживание,200,1-2015,,960006856,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006856_strТО
A,A0006856,ТР,Текущий ремонт,200,1-2015,,960006856,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006856_strТР
A,A0006857,ТО,Техническое обслуживание,200,1-2015,,960006857,4,2020-12-08,2020-12-07,2019-06-01,"0,360","0,200",A0006857_strТО
A,A0006857,ТР,Текущий ремонт,200,1-2015,,960006857,4,2020-12-08,2020-12-07,2019-06-01,"3,600","2,000",A0006857_strТР
A,A0006858,ТО,Техническое обслуживание,200,1-2015,,960006858,4,2020-12-08,2020-12-07,2019-06-01,"1,800","0,800",A0006858_strТО
A,A0006858,ТР,Текущий ремонт,200,1-2015,,960006858,4,2020-12-08,2020-12-07,2019-06-01,"18,000","8,000",A0006858_strТР
A,A0006859,ТО,Техническое обслуживание,200,1-2015,,960006859,4,2020-12-08,2020-12-07,2019-06-01,"2,200","0,800",A0006859_strТО
A,A0006859,ТР,Текущий ремонт,200,1-2015,,960006859,4,2020-12-08,2020-12-07,2019-06-01,"22,000","8,000",A0006859_strТР
A,A0006860,ТО,Техническое обслуживание,200,1-2015,,960006860,4,2020-12-08,2020-12-07,2019-06-01,"1,600","0,400",A0006860_strТО
A,A0006860,ТР,Текущий ремонт,200,1-2015,,960006860,4,2020-12-08,2020-12-07,2019-06-01,"16,000","4,000",A0006860_strТР
A,A0006861,ТО,Техническое обслуживание,200,1-2015,,960006861,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006861_strТО
A,A0006861,ТР,Текущий ремонт,200,1-2015,,960006861,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006861_strТР
A,A0006862,ТО,Техническое обслуживание,200,1-2015,,960006862,4,2020-12-08,2020-12-07,2019-06-01,"3,500","1,600",A0006862_strТО
A,A0006862,ТР,Текущий ремонт,200,1-2015,,960006862,4,2020-12-08,2020-12-07,2019-06-01,"35,000","16,000",A0006862_strТР
A,A0006863,ТО,Техническое обслуживание,200,1-2015,,960006863,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006863_strТО
A,A0006863,ТР,Текущий ремонт,200,1-2015,,960006863,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006863_strТР
A,A0006866,ТО,Техническое обслуживание,200,1-2015,,960006866,4,2020-12-08,2020-12-07,2019-06-01,"1,300","0,800",A0006866_strТО
A,A0006866,ТР,Текущий ремонт,200,1-2015,,960006866,4,2020-12-08,2020-12-07,2019-06-01,"13,000","8,000",A0006866_strТР
A,A0006867,ТО,Техническое обслуживание,200,1-2015,,960006867,4,2020-12-08,2020-12-07,2019-06-01,"1,400","0,400",A0006867_strТО
A,A0006867,ТР,Текущий ремонт,200,1-2015,,960006867,4,2020-12-08,2020-12-07,2019-06-01,"14,000","4,000",A0006867_strТР
A,A0006868,ТО,Техническое обслуживание,200,1-2015,,960006868,4,2020-12-08,2020-12-07,2019-06-01,"1,200","0,400",A0006868_strТО
A,A0006868,ТР,Текущий ремонт,200,1-2015,,960006868,4,2020-12-08,2020-12-07,2019-06-01,"12,000","4,000",A0006868_strТР
A,A0006869,ТО,Техническое обслуживание,200,1-2015,,960006869,4,2020-12-08,2020-12-07,2019-06-01,"2,200","0,800",A0006869_strТО
A,A0006869,ТР,Текущий ремонт,200,1-2015,,960006869,4,2020-12-08,2020-12-07,2019-06-01,"22,000","8,000",A0006869_strТР
A,A0006870,ТО,Техническое обслуживание,200,1-2015,,960006870,4,2020-12-08,2020-12-07,2019-06-01,"1,400","1,400",A0006870_strТО
A,A0006870,ТР,Текущий ремонт,200,1-2015,,960006870,4,2020-12-08,2020-12-07,2019-06-01,"14,000","7,000",A0006870_strТР
A,A0006871,ТО,Техническое обслуживание,200,1-2015,,960006871,4,2020-12-08,2020-12-07,2019-06-01,"2,400","0,800",A0006871_strТО
A,A0006871,ТР,Текущий ремонт,200,1-2015,,960006871,4,2020-12-08,2020-12-07,2019-06-01,"24,000","8,000",A0006871_strТР
A,A0006872,ТО,Техническое обслуживание,200,1-2015,,960006872,4,2020-12-08,2020-12-07,2019-06-01,"1,200","0,400",A0006872_strТО
A,A0006872,ТР,Текущий ремонт,200,1-2015,,960006872,4,2020-12-08,2020-12-07,2019-06-01,"12,000","4,000",A0006872_strТР
A,A0006877,ТО,Техническое обслуживание,200,1-2015,,960006877,4,2020-12-08,2020-12-07,2019-06-01,"0,800","0,200",A0006877_strТО
A,A0006877,ТР,Текущий ремонт,200,1-2015,,960006877,4,2020-12-08,2020-12-07,2019-06-01,"8,000","2,000",A0006877_strТР
A,A0006878,ТО,Техническое обслуживание,200,1-2015,,960006878,4,2020-12-08,2020-12-07,2019-06-01,"5,760","2,400",A0006878_strТО
A,A0006878,ТР,Текущий ремонт,200,1-2015,,960006878,4,2020-12-08,2020-12-07,2019-06-01,"57,600","24,000",A0006878_strТР
A,A0006881,ТО,Техническое обслуживание,200,1-2015,,960006881,4,2020-12-08,2020-12-07,2019-06-01,"3,600","1,000",A0006881_strТО
A,A0006881,ТР,Текущий ремонт,200,1-2015,,960006881,4,2020-12-08,2020-12-07,2019-06-01,"36,000","10,000",A0006881_strТР
A,A0006887,ТО,Техническое обслуживание,200,1-2015,,960006887,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006887_strТО
A,A0006887,ТР,Текущий ремонт,200,1-2015,,960006887,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006887_strТР
A,A0006888,ТО,Техническое обслуживание,200,1-2015,,960006888,4,2020-12-08,2020-12-07,2019-06-01,"0,800","0,200",A0006888_strТО
A,A0006888,ТР,Текущий ремонт,200,1-2015,,960006888,4,2020-12-08,2020-12-07,2019-06-01,"8,000","2,000",A0006888_strТР
A,A0006890,ТО,Техническое обслуживание,200,1-2015,,960006890,4,2020-12-08,2020-12-07,2019-06-01,"1,200","0,400",A0006890_strТО
A,A0006890,ТР,Текущий ремонт,200,1-2015,,960006890,4,2020-12-08,2020-12-07,2019-06-01,"12,000","4,000",A0006890_strТР
A,A0006891,ТО,Техническое обслуживание,200,1-2015,,960006891,4,2020-12-08,2020-12-07,2019-06-01,"1,100","1,100",A0006891_strТО
A,A0006891,ТР,Текущий ремонт,200,1-2015,,960006891,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006891_strТР
A,A0006892,ТО,Техническое обслуживание,200,1-2015,,960006892,4,2020-12-08,2020-12-07,2019-06-01,"1,100","1,100",A0006892_strТО
A,A0006892,ТР,Текущий ремонт,200,1-2015,,960006892,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006892_strТР
A,A0006893,ТО,Техническое обслуживание,200,1-2015,,960006893,4,2020-12-08,2020-12-07,2019-06-01,"1,100","1,100",A0006893_strТО
A,A0006893,ТР,Текущий ремонт,200,1-2015,,960006893,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006893_strТР
A,A0006896,ТО,Техническое обслуживание,200,1-2015,,960006896,4,2020-12-08,2020-12-07,2019-06-01,"1,100","0,400",A0006896_strТО
A,A0006896,ТР,Текущий ремонт,200,1-2015,,960006896,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006896_strТР
A,A0006897,ТО,Техническое обслуживание,200,1-2015,,960006897,4,2020-12-08,2020-12-07,2019-06-01,"0,700","0,200",A0006897_strТО
A,A0006897,ТР,Текущий ремонт,200,1-2015,,960006897,4,2020-12-08,2020-12-07,2019-06-01,"7,000","2,000",A0006897_strТР
A,A0006898,ТО,Техническое обслуживание,200,1-2015,,960006898,4,2020-12-08,2020-12-07,2019-06-01,"0,700","0,200",A0006898_strТО
A,A0006898,ТР,Текущий ремонт,200,1-2015,,960006898,4,2020-12-08,2020-12-07,2019-06-01,"7,000","2,000",A0006898_strТР
A,A0006899,ТО,Техническое обслуживание,200,1-2015,,960006899,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006899_strТО
A,A0006899,ТР,Текущий ремонт,200,1-2015,,960006899,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006899_strТР
A,A0006900,ТО,Техническое обслуживание,200,1-2015,,960006900,4,2020-12-08,2020-12-07,2019-06-01,"1,100","0,400",A0006900_strТО
A,A0006900,ТР,Текущий ремонт,200,1-2015,,960006900,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006900_strТР
A,A0006901,ТО,Техническое обслуживание,200,1-2015,,960006901,4,2020-12-08,2020-12-07,2019-06-01,"1,100","0,400",A0006901_strТО
A,A0006901,ТР,Текущий ремонт,200,1-2015,,960006901,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006901_strТР
A,A0006902,ТО,Техническое обслуживание,200,1-2015,,960006902,4,2020-12-08,2020-12-07,2019-06-01,"0,800","0,200",A0006902_strТО
A,A0006902,ТР,Текущий ремонт,200,1-2015,,960006902,4,2020-12-08,2020-12-07,2019-06-01,"8,000","2,000",A0006902_strТР
A,A0006903,ТО,Техническое обслуживание,200,1-2015,,960006903,4,2020-12-08,2020-12-07,2019-06-01,"1,100","0,400",A0006903_strТО
A,A0006903,ТР,Текущий ремонт,200,1-2015,,960006903,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006903_strТР
A,A0006904,ТО,Техническое обслуживание,200,1-2015,,960006904,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006904_strТО
A,A0006904,ТР,Текущий ремонт,200,1-2015,,960006904,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006904_strТР
A,A0006905,ТО,Техническое обслуживание,200,1-2015,,960006905,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006905_strТО
A,A0006905,ТР,Текущий ремонт,200,1-2015,,960006905,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006905_strТР
A,A0006906,ТО,Техническое обслуживание,200,1-2015,,960006906,4,2020-12-08,2020-12-07,2019-06-01,"0,800","0,200",A0006906_strТО
A,A0006906,ТР,Текущий ремонт,200,1-2015,,960006906,4,2020-12-08,2020-12-07,2019-06-01,"8,000","2,000",A0006906_strТР
A,A0006907,ТО,Техническое обслуживание,200,1-2015,,960006907,4,2020-12-08,2020-12-07,2019-06-01,"1,100","0,400",A0006907_strТО
A,A0006907,ТР,Текущий ремонт,200,1-2015,,960006907,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006907_strТР
A,A0006910,ТО,Техническое обслуживание,200,1-2015,,960006910,4,2020-12-08,2020-12-07,2019-06-01,"3,000","1,000",A0006910_strТО
A,A0006910,ТР,Текущий ремонт,200,1-2015,,960006910,4,2020-12-08,2020-12-07,2019-06-01,"30,000","10,000",A0006910_strТР
A,A0006913,ТО,Техническое обслуживание,200,1-2015,,960006913,4,2020-12-08,2020-12-07,2019-06-01,"1,100","0,400",A0006913_strТО
A,A0006913,ТР,Текущий ремонт,200,1-2015,,960006913,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006913_strТР
A,A0006917,ТО,Техническое обслуживание,200,1-2015,,960006917,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006917_strТО
A,A0006917,ТР,Текущий ремонт,200,1-2015,,960006917,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006917_strТР
A,A0006918,ТО,Техническое обслуживание,200,1-2015,,960006918,4,2020-12-08,2020-12-07,2019-06-01,"1,100","0,400",A0006918_strТО
A,A0006918,ТР,Текущий ремонт,200,1-2015,,960006918,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006918_strТР
A,A0006919,ТО,Техническое обслуживание,200,1-2015,,960006919,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006919_strТО
A,A0006919,ТР,Текущий ремонт,200,1-2015,,960006919,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006919_strТР
A,A0006920,ТО,Техническое обслуживание,200,1-2015,,960006920,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006920_strТО
A,A0006920,ТР,Текущий ремонт,200,1-2015,,960006920,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006920_strТР
A,A0006921,ТО,Техническое обслуживание,200,1-2015,,960006921,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006921_strТО
A,A0006921,ТР,Текущий ремонт,200,1-2015,,960006921,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006921_strТР
A,A0006922,ТО,Техническое обслуживание,200,1-2015,,960006922,4,2020-12-08,2020-12-07,2019-06-01,"0,700","0,200",A0006922_strТО
A,A0006922,ТР,Текущий ремонт,200,1-2015,,960006922,4,2020-12-08,2020-12-07,2019-06-01,"7,000","2,000",A0006922_strТР
A,A0006923,ТО,Техническое обслуживание,200,1-2015,,960006923,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006923_strТО
A,A0006923,ТР,Текущий ремонт,200,1-2015,,960006923,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006923_strТР
A,A0006924,ТО,Техническое обслуживание,200,1-2015,,960006924,4,2020-12-08,2020-12-07,2019-06-01,"0,800","0,200",A0006924_strТО
A,A0006924,ТР,Текущий ремонт,200,1-2015,,960006924,4,2020-12-08,2020-12-07,2019-06-01,"8,000","2,000",A0006924_strТР
A,A0006925,ТО,Техническое обслуживание,200,1-2015,,960006925,4,2020-12-08,2020-12-07,2019-06-01,"0,800","0,200",A0006925_strТО
A,A0006925,ТР,Текущий ремонт,200,1-2015,,960006925,4,2020-12-08,2020-12-07,2019-06-01,"8,000","2,000",A0006925_strТР
A,A0006927,ТО,Техническое обслуживание,200,1-2015,,960006927,4,2020-12-08,2020-12-07,2019-06-01,"1,100","0,400",A0006927_strТО
A,A0006927,ТР,Текущий ремонт,200,1-2015,,960006927,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006927_strТР
A,A0006930,ТО,Техническое обслуживание,200,1-2015,,960006930,4,2020-12-08,2020-12-07,2019-06-01,"0,700","0,200",A0006930_strТО
A,A0006930,ТР,Текущий ремонт,200,1-2015,,960006930,4,2020-12-08,2020-12-07,2019-06-01,"7,000","2,000",A0006930_strТР
A,A0006931,ТО,Техническое обслуживание,200,1-2015,,960006931,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006931_strТО
A,A0006931,ТР,Текущий ремонт,200,1-2015,,960006931,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006931_strТР
A,A0006932,ТО,Техническое обслуживание,200,1-2015,,960006932,4,2020-12-08,2020-12-07,2019-06-01,"0,540","0,200",A0006932_strТО
A,A0006932,ТР,Текущий ремонт,200,1-2015,,960006932,4,2020-12-08,2020-12-07,2019-06-01,"5,400","2,000",A0006932_strТР
A,A0006933,ТО,Техническое обслуживание,200,1-2015,,960006933,4,2020-12-08,2020-12-07,2019-06-01,"5,760","2,400",A0006933_strТО
A,A0006933,ТР,Текущий ремонт,200,1-2015,,960006933,4,2020-12-08,2020-12-07,2019-06-01,"57,600","24,000",A0006933_strТР
A,A0006936,ТО,Техническое обслуживание,200,1-2015,,960006936,4,2020-12-08,2020-12-07,2019-06-01,"0,540","0,200",A0006936_strТО
A,A0006936,ТР,Текущий ремонт,200,1-2015,,960006936,4,2020-12-08,2020-12-07,2019-06-01,"5,400","2,000",A0006936_strТР
A,A0006938,ТО,Техническое обслуживание,200,1-2015,,960006938,4,2020-12-08,2020-12-07,2019-06-01,"1,100","0,400",A0006938_strТО
A,A0006938,ТР,Текущий ремонт,200,1-2015,,960006938,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006938_strТР
A,A0006940,ТО,Техническое обслуживание,200,1-2015,,960006940,4,2020-12-08,2020-12-07,2019-06-01,"2,100","1,000",A0006940_strТО
A,A0006940,ТР,Текущий ремонт,200,1-2015,,960006940,4,2020-12-08,2020-12-07,2019-06-01,"21,000","10,000",A0006940_strТР
A,A0006941,ТО,Техническое обслуживание,200,1-2015,,960006941,4,2020-12-08,2020-12-07,2019-06-01,"0,700","0,200",A0006941_strТО
A,A0006941,ТР,Текущий ремонт,200,1-2015,,960006941,4,2020-12-08,2020-12-07,2019-06-01,"7,000","2,000",A0006941_strТР
A,A0006942,ТО,Техническое обслуживание,200,1-2015,,960006942,4,2020-12-08,2020-12-07,2019-06-01,"0,700","0,200",A0006942_strТО
A,A0006942,ТР,Текущий ремонт,200,1-2015,,960006942,4,2020-12-08,2020-12-07,2019-06-01,"7,000","2,000",A0006942_strТР
A,A0006943,ТО,Техническое обслуживание,200,1-2015,,960006943,4,2020-12-08,2020-12-07,2019-06-01,"2,700","1,000",A0006943_strТО
A,A0006943,ТР,Текущий ремонт,200,1-2015,,960006943,4,2020-12-08,2020-12-07,2019-06-01,"27,000","10,000",A0006943_strТР
A,A0006944,ТО,Техническое обслуживание,200,1-2015,,960006944,4,2020-12-08,2020-12-07,2019-06-01,"2,400","0,800",A0006944_strТО
A,A0006944,ТР,Текущий ремонт,200,1-2015,,960006944,4,2020-12-08,2020-12-07,2019-06-01,"24,000","8,000",A0006944_strТР
A,A0006945,ТО,Техническое обслуживание,200,1-2015,,960006945,4,2020-12-08,2020-12-07,2019-06-01,"2,400","0,800",A0006945_strТО
A,A0006945,ТР,Текущий ремонт,200,1-2015,,960006945,4,2020-12-08,2020-12-07,2019-06-01,"24,000","8,000",A0006945_strТР
A,A0006946,ТО,Техническое обслуживание,200,1-2015,,960006946,4,2020-12-08,2020-12-07,2019-06-01,"1,600","0,400",A0006946_strТО
A,A0006946,ТР,Текущий ремонт,200,1-2015,,960006946,4,2020-12-08,2020-12-07,2019-06-01,"16,000","4,000",A0006946_strТР
A,A0006947,ТО,Техническое обслуживание,200,1-2015,,960006947,4,2020-12-08,2020-12-07,2019-06-01,"1,400","0,400",A0006947_strТО
A,A0006947,ТР,Текущий ремонт,200,1-2015,,960006947,4,2020-12-08,2020-12-07,2019-06-01,"14,000","4,000",A0006947_strТР
A,A0006948,ТО,Техническое обслуживание,200,1-2015,,960006948,4,2020-12-08,2020-12-07,2019-06-01,"1,600","0,400",A0006948_strТО
A,A0006948,ТР,Текущий ремонт,200,1-2015,,960006948,4,2020-12-08,2020-12-07,2019-06-01,"16,000","4,000",A0006948_strТР
A,A0006949,ТО,Техническое обслуживание,200,1-2015,,960006949,4,2020-12-08,2020-12-07,2019-06-01,"1,200","0,400",A0006949_strТО
A,A0006949,ТР,Текущий ремонт,200,1-2015,,960006949,4,2020-12-08,2020-12-07,2019-06-01,"12,000","4,000",A0006949_strТР
A,A0006950,ТО,Техническое обслуживание,200,1-2015,,960006950,4,2020-12-08,2020-12-07,2019-06-01,"1,200","0,400",A0006950_strТО
A,A0006950,ТР,Текущий ремонт,200,1-2015,,960006950,4,2020-12-08,2020-12-07,2019-06-01,"12,000","4,000",A0006950_strТР
A,A0006951,ТО,Техническое обслуживание,200,1-2015,,960006951,4,2020-12-08,2020-12-07,2019-06-01,"1,600","0,400",A0006951_strТО
A,A0006951,ТР,Текущий ремонт,200,1-2015,,960006951,4,2020-12-08,2020-12-07,2019-06-01,"16,000","4,000",A0006951_strТР
A,A0006952,ТО,Техническое обслуживание,200,1-2015,,960006952,4,2020-12-08,2020-12-07,2019-06-01,"3,600","2,000",A0006952_strТО
A,A0006952,ТР,Текущий ремонт,200,1-2015,,960006952,4,2020-12-08,2020-12-07,2019-06-01,"36,000","20,000",A0006952_strТР
A,A0006953,ТО,Техническое обслуживание,200,1-2015,,960006953,4,2020-12-08,2020-12-07,2019-06-01,"1,400","0,400",A0006953_strТО
A,A0006953,ТР,Текущий ремонт,200,1-2015,,960006953,4,2020-12-08,2020-12-07,2019-06-01,"14,000","4,000",A0006953_strТР
A,A0006954,ТО,Техническое обслуживание,200,1-2015,,960006954,4,2020-12-08,2020-12-07,2019-06-01,"0,700","0,200",A0006954_strТО
A,A0006954,ТР,Текущий ремонт,200,1-2015,,960006954,4,2020-12-08,2020-12-07,2019-06-01,"7,000","2,000",A0006954_strТР
A,A0006955,ТО,Техническое обслуживание,200,1-2015,,960006955,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006955_strТО
A,A0006955,ТР,Текущий ремонт,200,1-2015,,960006955,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006955_strТР
A,A0006956,ТО,Техническое обслуживание,200,1-2015,,960006956,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006956_strТО
A,A0006956,ТР,Текущий ремонт,200,1-2015,,960006956,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006956_strТР
A,A0006957,ТО,Техническое обслуживание,200,1-2015,,960006957,4,2020-12-08,2020-12-07,2019-06-01,"3,600","2,000",A0006957_strТО
A,A0006957,ТР,Текущий ремонт,200,1-2015,,960006957,4,2020-12-08,2020-12-07,2019-06-01,"36,000","20,000",A0006957_strТР
A,A0006960,ТО,Техническое обслуживание,200,1-2015,,960006960,4,2020-12-08,2020-12-07,2019-06-01,"1,200","0,400",A0006960_strТО
A,A0006960,ТР,Текущий ремонт,200,1-2015,,960006960,4,2020-12-08,2020-12-07,2019-06-01,"12,000","4,000",A0006960_strТР
A,A0006961,ТО,Техническое обслуживание,200,1-2015,,960006961,4,2020-12-08,2020-12-07,2019-06-01,"0,540","0,540",A0006961_strТО
A,A0006961,ТР,Текущий ремонт,200,1-2015,,960006961,4,2020-12-08,2020-12-07,2019-06-01,"5,400","2,700",A0006961_strТР
A,A0006962,ТО,Техническое обслуживание,200,1-2015,,960006962,4,2020-12-08,2020-12-07,2019-06-01,"3,500","1,600",A0006962_strТО
A,A0006962,ТР,Текущий ремонт,200,1-2015,,960006962,4,2020-12-08,2020-12-07,2019-06-01,"35,000","16,000",A0006962_strТР
A,A0006963,ТО,Техническое обслуживание,200,1-2015,,960006963,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006963_strТО
A,A0006963,ТР,Текущий ремонт,200,1-2015,,960006963,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006963_strТР
A,A0006965,ТО,Техническое обслуживание,200,1-2015,,960006965,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006965_strТО
A,A0006965,ТР,Текущий ремонт,200,1-2015,,960006965,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006965_strТР
A,A0006967,ТО,Техническое обслуживание,200,1-2015,,960006967,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006967_strТО
A,A0006967,ТР,Текущий ремонт,200,1-2015,,960006967,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006967_strТР
A,A0006968,ТО,Техническое обслуживание,200,1-0215,,960006968,4,2020-12-08,2020-12-07,2019-06-01,"4,000","2,000",A0006968_strТО
A,A0006968,ТР,Текущий ремонт,200,1-0215,,960006968,4,2020-12-08,2020-12-07,2019-06-01,"41,000","24,000",A0006968_strТР
A,A0006969,ТО,Техническое обслуживание,200,1-2015,,960006969,4,2020-12-08,2020-12-07,2019-06-01,"0,720","0,720",A0006969_strТО
A,A0006969,ТР,Текущий ремонт,200,1-2015,,960006969,4,2020-12-08,2020-12-07,2019-06-01,"7,200","4,000",A0006969_strТР
A,A0006970,ТО,Техническое обслуживание,200,1-2015,,960006970,4,2020-12-08,2020-12-07,2019-06-01,"1,100","1,100",A0006970_strТО
A,A0006970,ТР,Текущий ремонт,200,1-2015,,960006970,4,2020-12-08,2020-12-07,2019-06-01,"11,000","4,000",A0006970_strТР
A,A0006971,ТО,Техническое обслуживание,200,1-2015,,960006971,4,2020-12-08,2020-12-07,2019-06-01,"0,600","0,200",A0006971_strТО
A,A0006971,ТР,Текущий ремонт,200,1-2015,,960006971,4,2020-12-08,2020-12-07,2019-06-01,"6,000","2,000",A0006971_strТР
A,A0006972,ТО,Техническое обслуживание,200,1-2015,,960006972,4,2020-12-08,2020-12-07,2019-06-01,"3,900","2,400",A0006972_strТО
A,A0006972,ТР,Текущий ремонт,200,1-2015,,960006972,4,2020-12-08,2020-12-07,2019-06-01,"39,000","24,000",A0006972_strТР
A,A0006973,ТО,Техническое обслуживание,200,1-2015,,960006973,4,2020-12-08,2020-12-07,2019-06-01,"5,040","2,400",A0006973_strТО
A,A0006973,ТР,Текущий ремонт,200,1-2015,,960006973,4,2020-12-08,2020-12-07,2019-06-01,"50,400","24,000",A0006973_strТР
A,A0006974,ТО,Техническое обслуживание,200,1-2015,,960006974,4,2020-12-08,2020-12-07,2019-06-01,"0,700","0,200",A0006974_strТО
A,A0006974,ТР,Текущий ремонт,200,1-2015,,960006974,4,2020-12-08,2020-12-07,2019-06-01,"7,000","2,000",A0006974_strТР
A,A0006978,ТО,Техническое обслуживание,200,1-2015,,960006978,4,2020-12-08,2020-12-07,2019-06-01,"0,800","0,200",A0006978_strТО
