Единица оборудования,Техническое место,Выбранная строка,Тип техкарты,Группа,СчетГруппТехкарт,ТкстТехкрт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Завод,Группа плановиков,Страт. предупр. ТОРО,Внешний идентификатор техкарты
100000008677,,,E,2164,ЕО,ЕТОЭкскаватор KomatsuРС400-7зав.№52461,"0,333","0,333",1200,100,1-0000,PC400-7_E03_01
100000008678,,,E,2165,ЕО,ЕТОЭкскаватор KomatsuРС400-7зав.№52462,"0,333","0,333",1200,100,1-0000,PC400-7_E03_01
100000009136,,,E,2166,ЕО,ЕТО Экскаватор ЭКГ-10 зав.№417,"0,333","0,333",1200,100,1-0000,ЭКГ-10_E03_02
100000009136,,,E,2166,ЕТ,Экскаватор ЭКГ-10 №417 смазка,"0,333","0,333",1200,100,1-0000,ЭКГ-10_E03_02
100000009136,,,E,2166,О3,ТО3 Экскаватор ЭКГ-10 №1207,"0,400","0,400",1200,100,2-0247,ЭКГ-10_E03_02
100000008673,,,E,2167,ЕО,Самосвал Caterpillar 785C зав.№APX02394,"0,333","0,333",1200,100,1-0000,785C_E01_01
100000008674,,,E,2168,ЕО,Самосвал Caterpillar 785C зав.№APX02393,"0,333","0,333",1200,100,1-0000,785C_E01_01
100000006408,,,E,2169,ЕО,Самосвал Komatsu HD1500-8 зав.№81014,"0,333","0,333",1200,100,1-0000,HD1500-8_E01_01
100000006409,,,E,2170,ЕО,Самосвал Komatsu HD1500-8 зав.№81012,"0,333","0,333",1200,100,1-0000,HD1500-8_E01_01
100000006410,,,E,2171,ЕО,Самосвал Komatsu HD1500-8 зав.№81015,"0,333","0,333",1200,100,1-0000,HD1500-8_E01_01
100000009146,,,E,2172,ЕО,ЕТО Бульдозер Komatsu D375A-5 зав.№19779,"0,333","0,333",1200,100,1-0000,D375A-5_E05_02
100000009137,,,E,2173,ЕО,ЕТО Экскаватор ЭКГ-10 зав.№418,"0,333","0,333",1200,100,1-0000,ЭКГ-10_E03_02
100000009137,,,E,2173,ЕТ,Экскаватор ЭКГ-10 зав.№418 смазка,"0,333","0,333",1200,100,1-0000,ЭКГ-10_E03_02
100000007087,,,E,2174,ЕО,ЕТО Экскаватор WK-20 ходовая/ковш/энерг,"0,333","0,333",1200,100,1-0000,WK-20_E03_02
100000007087,,,E,2174,ЕТ,ЕТО Поворотная платформа ЭкскаваторWK-20,"0,333","0,333",1200,100,1-0000,WK-20_E03_02
100000007096,,,E,2180,ЕО,ЕТО Станок буровой SmartROC D65 LF,"0,333","0,333",1200,100,1-0000,SmartROC D65 LF_E02_01
100000009132,,,E,2182,ЕО,ЕТО Станок буровой CM785D №1104,"0,334","0,334",1200,100,1-0000,CM 785_E02_01
100000008683,,,E,2183,ЕТ,ЕТО Погрузчик WA500-3 №1308,"0,333","0,333",1200,100,,WA500-3_E17_11
100000008684,,,E,2185,ЕТ,ЕТО Погрузчик WA500-3 №1309,"0,333","0,333",1200,100,1-0000,WA500-3_E17_11
100000008685,,,E,2186,ЕТ,ЕТО Погрузчик WA500-3 №1310,"0,333","0,333",1200,100,,WA500-3_E17_11
100000008686,,,E,2187,ЕТ,ЕТО Погрузчик WA500-3 №1311,"0,333","0,333",1200,100,,WA500-3_E17_11
100000008687,,,E,2188,ЕТ,ЕТО Погрузчик WA500-3 №1312,"0,333","0,333",1200,100,,WA500-3_E17_11
100000007090,,,E,2189,ЕТ,ЕТО Автогрейдер 18M3 №1501,"0,333","0,333",1200,100,1-0000,18M3_E06_01
100000021344,,,E,2440,ЕО,Самосвал HD1500-8 №1624,"0,333","0,333",1200,100,1-0000,HD1500-8_E01_01
100000021378,,,E,2442,ЕО,Бульдозер Komatsu WD-600 №1406,"0,333","0,333",1200,100,1-0000,WD600-6_E05_01
100000021378,,,E,2442,О1,ТО1 Бульдозер Komatsu WD-600 №1406,"12,000","6,000",1200,100,2-0164,WD600-6_E05_01
100000021378,,,E,2442,О2,ТО2 Бульдозер Komatsu WD-600 №1406,"20,000","10,000",1200,100,2-0164,WD600-6_E05_01
100000021378,,,E,2442,О3,ТО3 Бульдозер Komatsu WD-600 №1406,"48,000","24,000",1200,100,2-0164,D9R_E05_02
100000021378,,,E,2442,О4,ТО4 Бульдозер Komatsu WD-600 №1406,"72,000","24,000",1200,100,2-0164,WD600-6_E05_01
100000021364,,,E,2443,ЕО,Самосвал HD1500-8 №1625,"0,333","0,333",1200,100,1-0000,HD1500-8_E01_01
100000021466,,,E,2444,ЕО,Самосвал HD1500-8 №1626,"0,333","0,333",1200,100,1-0000,HD1500-8_E01_01
100000021717,,,E,2566,ЕО,ЕТО Буровой станок СБШ-250 № 1109,"0,333","0,333",1200,100,1-0000,СБШ-250 МНА-32_E02_02
100000022742,,,E,2567,ЕО,ЕТО Станок буровой DML HP 1450 №1110,"0,335","0,335",1200,100,1-0000,DML HP 1450_E02_01
100000022743,,,E,2568,ЕО,Самосвал HD1500-8 №1627,"0,333","0,333",1200,100,1-0000,HD1500-8_E01_01
100000022744,,,E,2569,ЕО,Самосвал HD1500-8 №1628,"0,333","0,333",1200,100,1-0000,HD1500-8_E01_01
100000022783,,,E,2570,ЕО,Самосвал HD1500-8 №1629,"0,333","0,333",1200,100,1-0000,HD1500-8_E01_01
100000008680,,,E,2574,ЕО,ЕТО Погрузчик САТ 966 1301,"0,333","0,333",1200,100,1-0000,Caterpillar 966H погр_E17_11
100000008681,,,E,2575,ЕО,ЕТО Погрузчик 966H №TAL02749 1302,"0,333","0,333",1200,100,1-0000,Caterpillar 966H погр_E17_11
100000054864,,,E,3616,10,КР двигателя,"120,000","62,100",1100,100,2-0466,50309_235845
100000058939,,,E,5699,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1000_32497
100000058939,,,E,5699,ТО,ТО Cистемы пожаротушения PC400-7 №07,"4,500","4,500",1100,100,2-0702,ЭКСКАВАТОР ГИДРАВЛ. PC400-7 №07
100000059052,,,E,5701,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1002_32620
100000059053,,,E,5702,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1003_32621
100000026788,,,E,5703,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1004_108770
100000026784,,,E,5704,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1005_108763
