Ед. оборудов.,Техместо,Тип техкарты,Группа,СчтГрупТехкарт,Группа_СчетГруппТехкарт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Описание,Завод,Гр. плановиков,Стратегия,Внешний ид.,Метка удаления,Монтажный узел,Статус,Дата изменения,Дата создания,Рабочее место,Завод РабМесто,Действит. с,ИндУдаления
,,A,A0005280,ТО,A0005280_ТО,"1,000","1,000",Техническое обслуживание,1100,100,2-0385,49545_30320,,960005280,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005281,КР,A0005281_КР,"576,000","144,000",Капитальный ремонт,1100,100,1-0205,6274_30321,,960005281,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005281,Т1,A0005281_Т1,"8,000","4,000",Текущий ремонт 1,1100,100,1-0205,6272_30321,,960005281,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005281,Т2,A0005281_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6273_30321,,960005281,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005281,ТО,A0005281_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6271_30321,,960005281,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005282,Т1,A0005282_Т1,"16,000","8,000",Текущий ремонт 1,1100,100,1-0205,6367_30322,,960005282,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005282,Т2,A0005282_Т2,"32,000","16,000",Текущий ремонт 2,1100,100,1-0205,6368_30322,,960005282,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005282,ТО,A0005282_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0205,6366_30322,,960005282,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005283,Т1,A0005283_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,45357_30323,,960005283,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005283,Т2,A0005283_Т2,"12,000","12,000",Текущий ремонт 2,1100,100,1-0205,45358_30323,,960005283,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005283,ТО,A0005283_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,45356_30323,,960005283,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005286,Т1,A0005286_Т1,"24,000","12,000",Текущий ремонт 1,1100,100,2-0385,49731_30326,,960005286,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005286,Т2,A0005286_Т2,"72,000","24,000",Текущий ремонт 2,1100,100,2-0385,49732_30326,,960005286,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005286,ТО,A0005286_ТО,"3,000","3,000",Техническое обслуживание,1100,100,2-0385,49730_30326,,960005286,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005287,Т1,A0005287_Т1,"24,000","12,000",Текущий ремонт 1,1100,100,2-0596,49757_30327,,960005287,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005287,Т2,A0005287_Т2,"48,000","24,000",Текущий ремонт 2,1100,100,2-0596,49758_30327,,960005287,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005287,ТО,A0005287_ТО,"2,000","2,000",Техническое обслуживание,1100,100,2-0596,49756_30327,,960005287,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005288,Т1,A0005288_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,2-0385,49506_30328,,960005288,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005288,Т2,A0005288_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,2-0385,49507_30328,,960005288,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005288,ТО,A0005288_ТО,"1,000","1,000",Техническое обслуживание,1100,100,2-0385,49505_30328,,960005288,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005289,Т1,A0005289_Т1,"8,000","4,000",Текущий ремонт 1,1100,100,2-0623,49558_30329,,960005289,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005289,Т2,A0005289_Т2,"16,000","8,000",Текущий ремонт 2,1100,100,2-0623,49559_30329,,960005289,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005289,ТО,A0005289_ТО,"1,000","1,000",Техническое обслуживание,1100,100,2-0623,49557_30329,,960005289,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005290,Т1,A0005290_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,6117_30330,,960005290,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005290,Т2,A0005290_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6118_30330,,960005290,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005290,ТО,A0005290_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6116_30330,,960005290,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005291,Т1,A0005291_Т1,"16,000","8,000",Текущий ремонт 1,1100,100,1-0189,45660_30331,,960005291,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005291,Т2,A0005291_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0189,45661_30331,,960005291,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005291,ТО,A0005291_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0189,45659_30331,,960005291,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005292,Т1,A0005292_Т1,"24,000","12,000",Текущий ремонт 1,1100,100,1-0205,3921_30332,,960005292,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005292,Т2,A0005292_Т2,"48,000","24,000",Текущий ремонт 2,1100,100,1-0205,3922_30332,,960005292,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005292,ТО,A0005292_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0205,3920_30332,,960005292,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005293,Т1,A0005293_Т1,"24,000","12,000",Текущий ремонт 1,1100,100,2-0385,49509_30333,,960005293,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005293,Т2,A0005293_Т2,"48,000","24,000",Текущий ремонт 2,1100,100,2-0385,49510_30333,,960005293,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005293,ТО,A0005293_ТО,"3,000","3,000",Техническое обслуживание,1100,100,2-0385,49508_30333,,960005293,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005294,Т1,A0005294_Т1,"10,000","5,000",Текущий ремонт 1,1100,100,2-0355,49552_30334,,960005294,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005294,Т2,A0005294_Т2,"20,000","10,000",Текущий ремонт 2,1100,100,2-0355,49553_30334,,960005294,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005294,ТО,A0005294_ТО,"1,000","1,000",Техническое обслуживание,1100,100,2-0355,49551_30334,,960005294,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005295,Т1,A0005295_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,6262_30335,,960005295,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005295,Т2,A0005295_Т2,"12,000","12,000",Текущий ремонт 2,1100,100,1-0205,6263_30335,,960005295,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005295,ТО,A0005295_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6261_30335,,960005295,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005297,Т1,A0005297_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,2-0385,49540_30337,,960005297,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005297,Т2,A0005297_Т2,"20,000","10,000",Текущий ремонт 2,1100,100,2-0385,49541_30337,,960005297,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005297,ТО,A0005297_ТО,"2,000","2,000",Техническое обслуживание,1100,100,2-0385,49539_30337,,960005297,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005299,Т1,A0005299_Т1,"12,000","6,000",Текущий ремонт 1,1100,100,1-0205,45606_30339,,960005299,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005299,Т2,A0005299_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,45607_30339,,960005299,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005299,ТО,A0005299_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0205,45605_30339,,960005299,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005301,ТО,A0005301_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0203,4542_30341,,960005301,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005301,ТР,A0005301_ТР,"24,000","12,000",Текущий ремонт,1100,100,1-0203,4543_30341,,960005301,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005302,Т1,A0005302_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,6315_30342,,960005302,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005302,Т2,A0005302_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6316_30342,,960005302,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005302,ТО,A0005302_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6314_30342,,960005302,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005304,Т1,A0005304_Т1,"18,000","6,000",Текущий ремонт 1,1100,100,1-0205,45619_30344,,960005304,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005304,Т2,A0005304_Т2,"36,000","12,000",Текущий ремонт 2,1100,100,1-0205,45620_30344,,960005304,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005304,ТО,A0005304_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0205,45618_30344,,960005304,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005306,КР,A0005306_КР,"192,000","48,000",Капитальный ремонт,1100,100,1-0204,6260_30346,,960005306,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005306,Т1,A0005306_Т1,"12,000","6,000",Текущий ремонт 1,1100,100,1-0204,6258_30346,,960005306,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005306,Т2,A0005306_Т2,"20,000","10,000",Текущий ремонт 2,1100,100,1-0204,6259_30346,,960005306,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005306,ТО,A0005306_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0204,6257_30346,,960005306,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005307,Т1,A0005307_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,45642_30347,,960005307,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005307,Т2,A0005307_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,45643_30347,,960005307,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005307,ТО,A0005307_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,45641_30347,,960005307,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005308,КР,A0005308_КР,"48,000","24,000",Капитальный ремонт,1100,100,1-0182,4192_30348,,960005308,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005308,ТО,A0005308_ТО,"0,500","0,500",Техническое обслуживание,1100,100,1-0182,4187_30348,,960005308,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005309,Т1,A0005309_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,6306_30349,,960005309,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005309,Т2,A0005309_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6307_30349,,960005309,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005309,ТО,A0005309_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6305_30349,,960005309,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005312,Т1,A0005312_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,6351_30352,,960005312,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005312,Т2,A0005312_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6352_30352,,960005312,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005312,ТО,A0005312_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6350_30352,,960005312,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005313,Т1,A0005313_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,6120_30353,,960005313,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005313,Т2,A0005313_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6121_30353,,960005313,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005313,ТО,A0005313_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6119_30353,,960005313,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005314,Т1,A0005314_Т1,"24,000","12,000",Текущий ремонт 1,1100,100,2-0355,49616_30354,,960005314,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005314,Т2,A0005314_Т2,"48,000","24,000",Текущий ремонт 2,1100,100,2-0355,49617_30354,,960005314,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005314,ТО,A0005314_ТО,"3,000","3,000",Техническое обслуживание,1100,100,2-0355,49615_30354,,960005314,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005315,Т1,A0005315_Т1,"36,000","12,000",Текущий ремонт 1,1100,100,1-0179,45712_30355,,960005315,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005315,Т2,A0005315_Т2,"54,000","18,000",Текущий ремонт 2,1100,100,1-0179,45713_30355,,960005315,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005315,ТО,A0005315_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0179,45711_30355,,960005315,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005316,Т1,A0005316_Т1,"24,000","12,000",Текущий ремонт 1,1100,100,1-0205,45470_30356,,960005316,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005316,Т2,A0005316_Т2,"32,000","16,000",Текущий ремонт 2,1100,100,1-0205,45471_30356,,960005316,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005316,ТО,A0005316_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0205,45453_30356,,960005316,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005317,Т1,A0005317_Т1,"10,000","5,000",Текущий ремонт 1,1100,100,1-0137,4642_30357,,960005317,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005317,Т2,A0005317_Т2,"20,000","10,000",Текущий ремонт 2,1100,100,1-0137,4643_30357,,960005317,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005317,ТО,A0005317_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0137,4641_30357,,960005317,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005318,ТО,A0005318_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0109,6140_30358,,960005318,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005318,ТР,A0005318_ТР,"96,000","32,000",Текущий ремонт,1100,100,1-0109,6141_30358,,960005318,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005319,Т1,A0005319_Т1,"24,000","12,000",Текущий ремонт 1,1100,100,1-0205,6288_30359,,960005319,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005319,Т2,A0005319_Т2,"32,000","16,000",Текущий ремонт 2,1100,100,1-0205,6289_30359,,960005319,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005319,ТО,A0005319_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0205,6287_30359,,960005319,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005320,Т1,A0005320_Т1,"54,000","16,000",Текущий ремонт 1,1100,100,1-0137,6111_30360,,960005320,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005320,Т2,A0005320_Т2,"72,000","24,000",Текущий ремонт 2,1100,100,1-0137,6112_30360,,960005320,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005320,ТО,A0005320_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0137,6110_30360,,960005320,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005322,Т1,A0005322_Т1,"72,000","24,000",Текущий ремонт 1,1100,100,1-0137,6108_30362,,960005322,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005322,Т2,A0005322_Т2,"144,000","48,000",Текущий ремонт 2,1100,100,1-0137,6109_30362,,960005322,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005322,ТО,A0005322_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0137,6107_30362,,960005322,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005323,Т1,A0005323_Т1,"54,000","16,000",Текущий ремонт 1,1100,100,1-0137,45318_30363,,960005323,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005323,Т2,A0005323_Т2,"72,000","24,000",Текущий ремонт 2,1100,100,1-0137,45319_30363,,960005323,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005323,ТО,A0005323_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0137,45317_30363,,960005323,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005325,Т1,A0005325_Т1,"54,000","24,000",Текущий ремонт 1,1100,100,1-0137,45315_30365,,960005325,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005325,Т2,A0005325_Т2,"72,000","24,000",Текущий ремонт 2,1100,100,1-0137,45316_30365,,960005325,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
